RMC,CCC,Complexity
43.5,5.05256052,0.070617491
43.5,5.052156197,0.070452707
42.5,4.942765023,0.067336789
53,5.057143449,0.070917099
43.5,5.028570065,0.071051922
56.5,5.052544205,0.071201726
42.5,5.041779314,0.070617491
46,5.056990748,0.070332864
42.5,5.024353232,0.070063217
42.5,4.938004348,0.066872397
46,5.033700664,0.070722354
42.5,5.02000197,0.06977859
65,5.057059364,0.070752314
61,5.048132685,0.071066902
43,5.024011949,0.071231686
56,5.024013539,0.071006981
45.5,5.028497998,0.070752314
42.5,4.926485767,0.067112083
52.5,5.023944897,0.070407766
42.5,5.057193045,0.070527609
46.5,4.937945096,0.067321808
42.5,5.028559778,0.07016808
44.5,5.028569974,0.070123139
43,5.041250057,0.071021961
61.5,4.937944619,0.066872397
58,5.028502646,0.071321569
42.5,4.978199725,0.068085808
55.5,4.973394074,0.068010906
65,4.938354618,0.067471612
42.5,5.052541288,0.07138149
44.5,5.028712211,0.070063217
59.5,4.926348916,0.067112083
54.5,5.056992711,0.070707373
121.5,5.052253571,0.071291608
49.5,5.052469982,0.07057255
64,4.926348916,0.066872397
57,5.012509874,0.070992
26.5,4.937935321,0.067157024
59.5,5.052412742,0.070512628
42.5,5.0131522,0.069973335
50.5,5.052588957,0.070527609
65.5,5.056654861,0.071486353
59.5,5.052423892,0.070617491
42.5,4.942764166,0.066752554
64,5.057510005,0.071021961
61,5.02849066,0.071336549
131.5,4.978049072,0.067741259
59.5,5.028578888,0.070048237
48.5,5.023953764,0.070467687
64.5,5.024361946,0.070752314
55.5,5.024096643,0.070917099
56.5,5.057182793,0.07096204
45.5,5.057124603,0.070647452
64,4.978061349,0.067201965
51.5,5.024076463,0.070677413
64.5,5.028371722,0.071216706
141.5,5.024483663,0.069898433
47.5,5.023809478,0.070617491
59.5,5.052544478,0.071216706
22.5,4.938072771,0.066857417
53.5,5.056975339,0.070632471
56.5,5.056770993,0.071246667
50,5.028672187,0.070617491
65,4.978041801,0.06736675
23,5.056986129,0.070347844
47,5.052417846,0.070287923
56.5,5.023719097,0.070317884
45.5,4.999982854,0.070108158
58,5.057000759,0.071351529
42.5,5.052183055,0.070887138
48,4.97781151,0.067531534
43.5,5.02357686,0.070542589
47.5,4.973265152,0.067486593
64,5.041393305,0.071246667
54.5,5.052287234,0.070632471
64,5.056906222,0.070602511
44.5,5.041636371,0.070617491
29,5.048500464,0.070302903
56.5,5.048352315,0.070872157
65,4.973127938,0.06736675
42.5,4.913460851,0.066872397
42.5,4.977926058,0.067411691
46,5.028225723,0.070392785
46,4.961870418,0.067816161
42.5,4.97767474,0.067816161
43,5.041312157,0.071321569
46,5.052821855,0.070228001
46.5,4.937690952,0.066872397
50.5,5.041372397,0.070602511
42.5,5.023585452,0.070632471
114.5,4.913471106,0.066872397
61.5,4.977669465,0.068130749
55.5,5.057123884,0.071096863
61.5,5.028567898,0.070347844
56.5,4.973815994,0.068010906
47,5.019614267,0.070497648
148.5,4.913609753,0.067306828
65,5.04177843,0.070617491
59.5,4.972893646,0.06736675
43.5,5.028578704,0.07016808
64,5.052423193,0.071066902
56.5,4.937934081,0.067112083
42.5,5.052270555,0.071216706
42.5,4.942775323,0.066827456
64,5.041243626,0.070317884
43.5,5.012888656,0.070063217
63.5,5.000086308,0.069958355
64.5,4.978182223,0.067531534
57,5.057181761,0.071201726
56.5,5.028571714,0.070992
61,5.028434557,0.071231686
42.5,4.942529575,0.067157024
56.5,5.012377887,0.070857177
43.5,5.057143714,0.070647452
52.5,5.037176068,0.070228001
65,5.052137725,0.070377805
45.5,4.942627036,0.067037181
38.5,5.052947343,0.071246667
34,4.942764737,0.067906043
47.5,5.024344548,0.070407766
31,5.052939018,0.070812236
54,4.942392731,0.067636396
40.5,5.028319776,0.070947059
46.5,4.926485767,0.067037181
35,5.02408695,0.070347844
43.5,5.023809203,0.070093178
32,5.057123611,0.070932079
42.5,4.937944905,0.066872397
34.5,5.000380206,0.070857177
43.5,5.028191349,0.07016808
37,5.02414538,0.07096204
44,5.024086614,0.070242982
36.5,5.052541653,0.071411451
42.5,4.913470626,0.067037181
23,5.02855932,0.070048237
47.5,5.023944897,0.070347844
23,4.927013971,0.067037181
45,5.05712433,0.070317884
28,5.028977141,0.070407766
48.5,5.012754185,0.070422746
30,5.023935204,0.070332864
22,4.942814421,0.066872397
45.5,5.052938228,0.070317884
27.5,4.973403659,0.067531534
52,5.023954589,0.070932079
24,5.057000243,0.070602511
58,5.057124066,0.071201726
23,4.93793513,0.066752554
53,5.056994198,0.071036942
27,5.023857665,0.070332864
54,5.057412967,0.071201726
31,5.052534513,0.070527609
23,5.033979536,0.070332864
58,5.057003944,0.071276628
31.5,5.057401955,0.071111843
33.5,5.056990475,0.070917099
35,4.978172258,0.068295533
53,5.028623725,0.070497648
31,5.05257009,0.070527609
42.5,4.942757551,0.066827456
34,4.942902406,0.067696318
43.5,4.937944619,0.066752554
31,4.943166021,0.067037181
41.5,5.052552833,0.071411451
27,4.973265089,0.06736675
34.5,5.041788122,0.070917099
55,5.057136564,0.07096204
33,5.052414838,0.070947059
53.5,5.041300255,0.07057255
37.5,5.041258576,0.071276628
40.5,5.056992711,0.07376337
52,5.052540559,0.070887138
28,5.048489128,0.070272942
48.5,5.053093226,0.070228001
27,4.978046145,0.067426671
42.5,4.937797521,0.066872397
37.5,5.052413714,0.071306588
53,5.052406423,0.070617491
24,5.03731176,0.069943374
36.5,5.05281591,0.071276628
58.5,5.052550706,0.071171765
22,4.938355158,0.067037181
58,5.052831223,0.071336549
23.5,5.028690952,0.070078198
47.5,5.025026897,0.070063217
36.5,5.052830737,0.071231686
51.5,5.056662132,0.070812236
30.5,5.028491088,0.07097702
50.5,5.056996967,0.070647452
22,4.942764166,0.066872397
33,5.04125155,0.070707373
58,5.052531961,0.071246667
22.5,4.942901581,0.066737574
44.5,5.023954589,0.069973335
35,5.041373342,0.071216706
42.5,4.913460851,0.066872397
38.5,5.023945172,0.071036942
47,4.977830963,0.067201965
30,5.057126614,0.070527609
48.5,4.978051591,0.067576475
24,5.028490721,0.032177847
57.5,5.056900505,0.071561255
41,5.056996967,0.07138149
48.5,4.938082546,0.067022201
31.5,5.019963659,0.070213021
34,5.041382882,0.070647452
44,5.012745934,0.070332864
36.5,5.040975264,0.071306588
30,5.028633111,0.070647452
56.5,5.057046077,0.071096863
31,5.052473172,0.070647452
49.5,5.028568173,0.070632471
30,5.056871202,0.070917099
42.5,4.926348916,0.066872397
26,4.937798284,0.067157024
37,5.052173484,0.071216706
48,4.97818046,0.067486593
35,5.02855526,0.07096204
54,5.056538287,0.070917099
23,4.948731826,0.067216946
29.5,5.062153035,0.07057255
40.5,5.056847451,0.071321569
47.5,4.948517261,0.067546514
37.5,5.052551162,0.071246667
42.5,4.942627512,0.066827456
25,5.028624183,0.070362825
64,5.056637843,0.070692393
54,5.028623419,0.070917099
42.5,4.961844227,0.067441651
55.5,5.052074986,0.070707373
42.5,5.052163671,0.070527609
45,4.937820058,0.066857417
42.5,4.973264774,0.067201965
42.5,4.937934081,0.066812476
42.5,5.052541015,0.070647452
46.5,5.028423628,0.070407766
42.5,5.057115291,0.071171765
42.5,4.93834745,0.066827456
42.5,4.942549696,0.067022201
46,5.052072707,0.070377805
43.5,5.052398614,0.070737334
49.5,5.052279153,0.070692393
42.5,4.93756601,0.066827456
42.5,5.028553951,0.070692393
39,4.973383291,0.068130749
50,5.02833552,0.070617491
31.5,5.024362741,0.070932079
43.5,4.913470914,0.066872397
25.5,5.052414474,0.070497648
51.5,5.02406677,0.070872157
36.5,5.028565456,0.071156785
54.5,5.052405329,0.070647452
38.5,5.028652221,0.071246667
54,5.056999151,0.071066902
35.5,5.056634689,0.071456392
43.5,4.942764356,0.066752554
23.5,5.028419751,0.070078198
48.5,5.0281894,0.070737334
30,5.052415021,0.070527609
53,4.824551226,0.065688947
52,5.057007675,0.071351529
35,4.938083023,0.067906043
44.5,4.977909311,0.067216946
22,4.937944619,0.066752554
43.5,4.948869147,0.067216946
29,5.057123611,0.070647452
28,4.937945096,0.067157024
44.5,5.023712554,0.07016808
24,5.023954864,0.070497648
54.5,5.056816025,0.071096863
39.5,5.052285594,0.071291608
61,5.028134609,0.071261647
24,4.968493037,0.067157024
43.5,4.973265121,0.067201965
29.5,5.041371361,0.070617491
32,5.041244418,0.070707373
54.5,5.056693354,0.070602511
22,4.937573655,0.067037181
46.5,5.052423832,0.070437727
34.5,5.041228844,0.071336549
58,5.056656893,0.071321569
23,5.019992553,0.06977859
44.5,5.056990809,0.070377805
41,5.056997422,0.071216706
48.5,5.00016339,0.07055757
34,5.000512615,0.071126824
31,5.052957764,0.070647452
28,5.028554985,0.070392785
55,5.05739949,0.071231686
36.5,5.028505673,0.071501333
42.5,4.942392445,0.067037181
45,5.056636903,0.070407766
29.5,5.052181627,0.070497648
48.5,5.041290928,0.070632471
25,5.052405177,0.070527609
44.5,5.056855398,0.070257962
35.5,5.024351153,0.071021961
58.5,5.052543567,0.071171765
33,5.040882457,0.07057255
49.5,5.05213417,0.070542589
32,5.052957035,0.070617491
47.5,5.052334752,0.070632471
39.5,5.057123611,0.071246667
52.5,5.012503555,0.070437727
37.5,5.056777531,0.071246667
34,4.913609465,0.067741259
34,5.056639208,0.070722354
51.5,5.024075851,0.070677413
30.5,5.05705812,0.07058753
52,5.028493534,0.07097702
29,5.028701422,0.070392785
22,4.942764166,0.066752554
42.5,4.942392445,0.066842436
22,4.942771401,0.067037181
35.5,5.052718404,0.070767295
44.5,5.052030659,0.070377805
27,4.97790544,0.067486593
55,5.02425132,0.070662432
36.5,5.037314599,0.070857177
27.5,4.977906793,0.067696318
29.5,5.056758148,0.070617491
52,4.977808772,0.067486593
36,5.024065975,0.07096204
36.5,5.056749229,0.071336549
37.5,5.000116064,0.070947059
50,4.93757553,0.067636396
32.5,5.052414352,0.070932079
25.5,5.057005733,0.070392785
47.5,5.023945172,0.070377805
32.5,5.028322645,0.070872157
57.5,5.028283909,0.071096863
27,4.973266665,0.06736675
53,5.052421614,0.071021961
30,5.052415476,0.070647452
48.5,5.048363011,0.070437727
34,5.056867805,0.070602511
60,5.058336635,0.070812236
27,4.973269408,0.067546514
43,4.942901581,0.066827456
22,4.926124089,0.066872397
29,5.023955659,0.070467687
22.5,4.942432401,0.066812476
33,5.052414838,0.070617491
60,5.06216197,0.071246667
22,5.03406896,0.070093178
43.5,4.978048191,0.067216946
35.5,5.056719715,0.071261647
48.5,5.02436057,0.070467687
36.5,5.034120956,0.070872157
32,5.028322371,0.070347844
56,5.056861313,0.071216706
23,5.019643804,0.069613806
49.5,4.977970882,0.067456632
36,5.052541926,0.071171765
46.5,4.942392731,0.067321808
38.5,5.05254147,0.071246667
43.5,4.977670868,0.067201965
22,4.926476789,0.066752554
54.5,5.041381053,0.070602511
22,4.937573178,0.067037181
48,4.961711878,0.067531534
23,4.942627385,0.066872397
45.5,5.028122654,0.070407766
35.5,5.056622525,0.071216706
59,5.052424166,0.071351529
25.5,5.057126159,0.070497648
51.5,5.012761056,0.070842197
39,5.057124066,0.071246667
35.5,5.052183328,0.071306588
60.5,5.056747279,0.07138149
22,4.937573655,0.066827456
57.5,5.052550706,0.071216706
49,4.899407039,0.067876082
59.5,4.977878715,0.068475297
31.5,5.052030051,0.071051922
57.5,5.041380992,0.071171765
26,4.937690952,0.067157024
42.5,4.937662232,0.066872397
35.5,5.028488764,0.071351529
49,5.056968817,0.070497648
26,4.942392731,0.067112083
44.5,5.057003428,0.070407766
38.5,5.057006037,0.071231686
44.5,5.023808377,0.07018306
33,5.057154734,0.07057255
57,5.052419578,0.071486353
27,4.973098616,0.067486593
56,5.048403863,0.070782275
35,5.024087409,0.070392785
42.5,4.942627512,0.067037181
23.5,5.023708151,0.070242982
48.5,5.048498881,0.070272942
29.5,5.041103151,0.070617491
56.5,5.028737994,0.071126824
32.5,4.973406496,0.067486593
44.5,5.008409209,0.069493963
28.5,5.057123611,0.070497648
33,5.052521813,0.070932079
48,4.973256765,0.067531534
41.5,5.048195638,0.070902118
50,5.0411133,0.070617491
31.5,5.048197534,0.071201726
28,4.999605104,0.070317884
58,5.041381236,0.071246667
24.5,5.052418697,0.070632471
50,5.056747006,0.070617491
38,5.041788122,0.07138149
46.5,5.023945355,0.070407766
31,4.978042084,0.067486593
61,5.052541653,0.071411451
29.5,4.942392445,0.067471612
22,4.937934621,0.066872397
56,5.056723537,0.071111843
28,5.056786753,0.070362825
34.5,5.052182417,0.070497648
49.5,5.048122993,0.070302903
32,5.052399313,0.070902118
58,5.062129564,0.071336549
31,4.961480237,0.067501573
39.5,5.028200965,0.071201726
33,5.05719532,0.070527609
34.5,5.052549917,0.07096204
46.5,4.926545214,0.067112083
22,4.942451093,0.067037181
32,5.052541318,0.070812236
58.5,5.057135199,0.071171765
56.5,5.056647845,0.070647452
51,5.052413957,0.07097702
56.5,4.942392731,0.066872397
64,5.04137197,0.071126824
51,4.977690416,0.067681337
23,4.961841854,0.067216946
62,5.057003246,0.071291608
42.5,5.052279335,0.071126824
48.5,5.019643345,0.06977859
45.5,5.048489007,0.07058753
42.5,5.0477961,0.071096863
48,5.052533632,0.070617491
42.5,5.028201484,0.070452707
56.5,5.02835784,0.070632471
57.5,5.056996967,0.071171765
42.5,5.05203795,0.070632471
42.5,5.028438678,0.070063217
45.5,5.01998185,0.069493963
42.5,5.024076463,0.070917099
52.5,4.961843752,0.067576475
42.5,4.942775323,0.067037181
54,5.052398037,0.070617491
27,4.999634367,0.070437727
31.5,5.052589383,0.07057255
50,5.028497142,0.070617491
23,4.978046145,0.067261887
62,5.05241341,0.071336549
30.5,5.023945936,0.070857177
48,4.926370188,0.067306828
26,5.052417816,0.070452707
63,5.012888073,0.070947059
22,4.94276388,0.066872397
45,4.937937196,0.066872397
22.5,5.012877859,0.070033256
57.5,5.028284306,0.071216706
36,4.949006467,0.068295533
42.5,4.937934304,0.066827456
36,5.056971092,0.071216706
57,5.028246179,0.071246667
32,4.978049135,0.067546514
58,5.052176036,0.071261647
26,4.937573655,0.067157024
45.5,5.052175277,0.070527609
31.5,4.973132289,0.068025886
38.5,5.04138471,0.071411451
51.5,5.023901999,0.070632471
