CCC,Execution Time
5.540880268,0
5.711635424,0
4.882346561,0
5.489863079,0
5.907728231,0
5.042898724,0
5.773129278,0
5.799305437,0
5.392126441,0
2.877928087,0
5.764906475,0
6.010520412,0
5.375055335,0
5.106866984,0
4.940290178,0
3.626257759,0
5.947702469,0
5.352459265,0
5.58040872,0
5.831308574,0
5.5921964,0
5.514134846,0
5.106866984,0
5.664815363,0
5.076215403,0
5.317641419,0
5.654467319,0
5.035757871,0
5.396742446,0
3.981299038,0
5.397043234,0
5.724308391,0
4.966010296,0
5.735433076,0
4.062348883,0
5.232444196,0
5.047890552,0
5.710581019,0
5.253289678,0
5.914628959,0
5.92359912,0
5.06699166,0
5.49572138,0
5.44606089,0
5.422730448,0
5.840704705,0
5.632166234,0
5.724913758,0
5.908121496,0
2.894993886,0
5.709367442,0
5.184457862,0
5.047890552,0
5.471257991,0
5.629422689,0
5.897699861,0
5.661462456,0
5.718671589,0
2.867526268,0
5.917517099,0
2.867502282,0
5.387828213,0
5.606370543,0
5.007903958,0
5.594584776,0
5.743422883,0
5.672924222,0
5.633577384,0
4.013785826,0
5.589788024,0
5.555181235,0
5.475118941,0
5.66987523,0
5.044972808,0
4.858094343,0
5.036944316,0
5.801033827,0
5.566600362,0
5.041227453,0
5.662644896,0
6.021893077,0
4.851581605,0
5.547916528,0
3.624517198,0
3.623153579,0
3.624293058,0
3.608119014,0
3.623271073,0
3.602503145,0
3.623918868,0
3.601797736,0
3.615470946,0
3.623348203,0
3.615598641,0
3.615470753,0
3.623858458,0
3.623323944,0
3.623726555,0
3.624497379,0
3.623804157,0
3.633147826,0
3.62353107,0
3.613564683,0
3.615735569,0
3.624178594,0
3.606337889,0
3.605302127,0
3.62430188,0
3.623535238,0
3.623443128,0
3.602874274,0
3.608209607,0
3.604938361,0
3.601538604,0
3.60844202,0
3.624593512,0
3.624917772,0
3.62363667,0
3.625206184,0
3.624606127,0
3.624378496,0
3.624413253,0
3.623186685,0
3.624961658,0
3.611317882,0
3.624106689,0
3.623661223,0
3.623987876,0
3.62400218,0
3.633411099,0
3.62349499,0
3.623561892,0
3.623973397,0
3.625347511,0
3.601629156,0
3.624566246,0
3.623382827,0
3.623473327,0
3.623453996,0
3.615136414,0
3.623344809,0
3.614943971,0
3.622932228,0
3.623737103,0
3.624625103,0
3.623351504,0
3.623251183,0
3.623481827,0
3.62470764,0
3.630452352,0
3.624542173,0
3.62346681,0
3.588249578,0
3.624098212,0
3.623374022,0
3.623453006,0
3.624303204,0
3.602034372,0
3.63252423,0
3.624191766,0
3.613773774,0
3.624291415,0
3.603695807,0
3.624071931,0
3.624507393,0
3.624205658,0
3.624550802,0
3.623931849,0
3.623666808,0
3.623050911,0
3.633972073,0
3.624189278,0
3.623733598,0
3.625390011,0
3.623569691,0
3.623580988,0
3.631640245,0
3.623897786,0
3.623583956,0
3.624469265,0
3.623780862,0
3.623599477,0
3.624117203,0
3.623202225,0
3.62363185,0
3.624008458,0
3.602781965,0
3.623471048,0
3.623507789,0
3.624127064,0
3.623690363,0
3.623854328,0
3.623820766,0
3.623385087,0
3.614745334,0
3.6317868,0
3.623305592,0
3.610842645,0
3.62353828,0
3.62416769,0
3.624400756,0
3.623665014,0
3.604275919,0
3.624080861,0
3.62392553,0
3.600343256,0
3.6245399,0
3.623967681,0
3.624561272,0
3.632978319,0
3.624373351,0
3.622340263,0
3.623254939,0
3.62411658,0
3.62457859,0
3.623357457,0
3.624395796,0
3.624884887,0
3.625080962,0
3.618982732,0
3.623929798,0
3.623521102,0
3.624136099,0
3.623587571,0
3.623416799,0
3.623440899,0
3.622142508,0
3.623598426,0
3.624697102,0
3.623545127,0
3.624085181,0
3.623728918,0
3.624092838,0
3.624640934,0
3.624430309,0
3.624037929,0
3.612928862,0
3.624556498,0
3.621548539,0
3.624509172,0
3.623740534,0
3.624385179,0
3.624791686,0
3.623925157,0
3.623351683,0
3.623841065,0
3.623263842,0
3.623476031,0
3.623759617,0
3.623397734,0
3.623378561,0
3.624650132,0
3.623874271,0
3.633072577,0
3.613286825,0
3.623924894,0
3.603671948,0
3.604317318,0
3.62318054,0
3.623905442,0
3.63323246,0
3.623418812,0
3.624336435,0
3.623586066,0
3.623733536,0
3.623777562,0
3.624335228,0
3.623579045,0
3.624491769,0
3.604599981,0
3.629960452,0
3.605890356,0
3.624813836,0
3.600872217,0
3.624479037,0
3.638837997,0
3.628030689,0
3.624575884,0
3.625312028,0
3.624413282,0
3.631173504,0
3.624679356,0
3.624099027,0
3.625039933,0
3.624489851,0
3.602344421,0
3.607999918,0
3.641706879,0
3.623741658,0
3.594382116,0
3.624294099,0
3.623426064,0
3.612569505,0
3.625140867,0
3.624005055,0
3.623740019,0
3.62363499,0
3.623434857,0
3.623646521,0
3.623246599,0
3.624452446,0
3.623369778,0
3.623038907,0
3.624226106,0
3.609885174,0
3.612724442,0
3.615385667,0
3.625383634,0
3.623761799,0
3.624051429,0
3.633707002,0
3.623437497,0
3.624473498,0
3.625058686,0
3.623861038,0
3.625240239,0
3.62497747,0
3.623800792,0
3.625007302,0
3.624152502,0
3.605793316,0
3.626884161,0
3.624858152,0
3.623388255,0
3.623902639,0
3.624213947,0
3.623728706,0
3.63369325,0
3.633783718,0
4.128004205,0
3.623565384,0
3.624169238,0
3.624001872,0
3.62314919,0
3.62202087,0
3.623930181,0
3.623326417,0
3.624147199,0
3.623687433,0
3.625317016,0
3.624074053,0
3.620526228,0
3.623546364,0
3.623953847,0
3.623980042,0
3.624072626,0
3.605019898,0
3.624155914,0
3.624155787,0
3.624760761,0
3.63035469,0
3.623574968,0
3.610020008,0
3.603739782,0
3.604639443,0
3.624539553,0
3.624242684,0
3.623594,0
3.623516635,0
3.623853133,0
3.613938052,0
3.623599206,0
4.126742692,0
3.614696603,0
3.603337276,0
3.623942789,0
3.623511247,0
3.605685068,0
3.624278827,0
3.614529053,0
3.62429727,0
3.602456399,0
3.607609794,0
3.604284891,0
3.622529972,0
3.623377372,0
3.624584063,0
3.62358455,0
3.628099585,0
3.625259014,0
3.623234137,0
3.624165831,0
3.643989144,0
3.623656299,0
3.624879569,0
3.624294473,0
3.622726977,0
3.628967432,0
3.624115091,0
3.62304986,0
3.633091757,0
3.623721305,0
3.623329315,0
3.626079298,0
3.62361351,0
3.622777458,0
3.624124738,0
3.623441115,0
3.624727493,0
3.623570115,0
3.623750967,0
3.633509228,0
3.623605148,0
3.623538274,0
3.615739421,0
3.625006335,0
3.62225274,0
3.623530694,0
3.62321828,0
3.596238905,0
3.623732176,0
3.623762326,0
3.623612523,0
3.623057215,0
3.615693958,0
3.610176528,0
3.622448174,0
3.624683965,0
3.623957895,0
3.623816785,0
3.638806734,0
3.623885986,0
3.623441605,0
3.624498171,0
3.623681734,0
3.624868996,0
3.611167057,0
3.618037103,0
3.62400911,0
3.622161239,0
3.623605089,0
3.623987273,0
3.601875844,0
3.623482034,0
3.615112516,0
3.624549523,0
3.623609287,0
3.623624966,0
3.624241386,0
3.623254066,0
3.623407516,0
3.624816455,0
3.62368554,0
3.595135387,0
3.623510166,0
3.58666227,0
3.623547059,0
3.624076347,0
3.623282354,0
3.624225179,0
3.621242785,0
3.623642499,0
3.623293801,0
3.611901901,0
3.632968338,0
3.624041522,0
3.588473069,0
3.623627225,0
3.61793297,0
3.624581524,0
3.62438747,0
3.623761895,0
3.604150235,0
3.623721418,0
3.625019166,0
3.623583003,0
3.624834235,0
3.625603319,0
3.6199268,0
3.625253672,0
3.623696287,0
3.624995942,0
3.613857976,0
3.632325572,0
3.624332071,0
3.616334311,0
3.604001254,0
3.62415345,0
3.62338971,0
3.623333911,0
3.624885815,0
3.601198239,0
3.623317194,0
3.625094119,0
3.61769573,0
3.623218588,0
3.624164924,0
3.603990227,0
3.60177356,0
3.625094244,0
3.627714865,0
3.62381816,0
3.625056479,0
3.604497402,0
3.623691372,0
3.624430932,0
3.633836016,0
3.623539837,0
3.623509363,0
3.623392709,0
3.624382115,0
3.624241004,0
3.602434748,0
3.626452014,0
3.623329023,0
3.623537156,0
3.624063995,0
3.604996362,0
3.624576987,0
3.624223924,0
3.620350194,0
3.623827671,0
3.595252139,0
3.624376078,0
3.61641038,0
3.624244033,0
3.623665743,0
3.623834917,0
3.624117942,0
3.638837829,0
3.623709097,0
3.604910356,0
3.623777572,0
3.62461638,0
3.6242134,0
3.615055704,0
3.624192488,0
3.624069711,0
3.602128524,0
3.633886003,0
3.623631548,0
3.624133145,0
3.624835532,0
3.603299967,0
3.623951178,0
3.623705647,0
3.604206407,0
3.623621725,0
3.62315746,0
3.623333448,0
3.624135946,0
3.624949039,0
3.62352715,0
3.624137612,0
3.624216974,0
3.623663976,0
3.623721754,0
3.622029019,0
3.616338035,0
3.623348157,0
3.623527286,0
3.623601193,0
3.622574112,0
3.602365041,0
3.62443731,0
3.601094632,0
3.623473896,0
3.623899189,0
3.603799493,0
3.623521678,0
3.623669206,0
3.62410268,0
3.60172437,0
3.613486407,0
3.623559747,0
3.614800758,0
3.62479244,0
3.623179811,0
3.6327363,0
3.62389248,0
3.623804001,0
