RMC,CCC,Cyclomatic Complexity
58.5,5.0525446,0
27,5.028326705,0
50,5.029039918,0
23,5.029108498,0
24,5.02896667,0
24,5.056855125,0
59,5.057539702,0
34.5,5.020389673,0
44.5,4.995620444,0
25,4.978452585,0
47.5,5.024005039,0
30.5,5.028691135,0
63,5.024106794,0
22.5,4.94276388,0
54.5,5.028342213,0
29.5,5.041788122,0
28,5.04849033,0
48.5,5.028893767,0
32,5.041238536,0
39.5,4.978049261,0
57,5.000115787,0
24.5,5.05677744,0
24,5.012887613,0
43.5,4.977670679,0
24,5.052806462,0
45,5.028693119,0
35,4.97818046,0
54,5.057115291,0
40,5.028493228,0
22,4.913470914,0
43.5,4.977779291,0
23,4.948864577,0
48,4.948866957,0
25,5.052560307,0
42.5,4.938344621,0
31.5,5.037332793,0
28,5.057401773,0
42.5,4.942755488,0
26,4.913119,0
38.5,5.057132651,0
55.5,4.999727482,0
30.5,4.942392922,0
51.5,5.052551557,0
22,4.937680987,0
42.5,4.942621183,0
26,4.926329366,0
45.5,5.052421279,0
26,4.937562577,0
50,5.02855932,0
34,5.023719311,0
57,5.056652131,0
27,5.006325899,0
52,4.961688755,0
152.5,5.040885535,0
62,5.028633295,0
23,5.023577043,0
42.5,5.028507691,0
49.5,5.023824735,0
49,5.056987927,0
49,5.05242055,0
49,5.056655043,0
49,4.961846979,0
46,4.996036972,0
47.5,5.057155037,0
49,5.057133106,0
49,5.056764639,0
49,5.05255098,0
49,5.028693102,0
49,5.024619694,0
49,5.01276489,0
49,5.012765074,0
49,5.008775879,0
42.5,4.937944619,0
43.5,5.052540863,0
53,5.052405147,0
45.5,5.052422039,0
57.5,5.013294983,0
43,4.942808723,0
43.5,5.05256052,0
43.5,5.052156197,0
42.5,4.942765023,0
53,5.057143449,0
43.5,5.028570065,0
56.5,5.052544205,0
42.5,5.041779314,0
46,5.056990748,0
42.5,5.024353232,0
42.5,4.938004348,0
46,5.033700664,0
42.5,5.02000197,0
65,5.057059364,0
61,5.048132685,0
43,5.024011949,0
56,5.024013539,0
45.5,5.028497998,0
42.5,4.926485767,0
52.5,5.023944897,0
42.5,5.057193045,0
46.5,4.937945096,0
42.5,5.028559778,0
44.5,5.028569974,0
43,5.041250057,0
61.5,4.937944619,0
58,5.028502646,0
42.5,4.978199725,0
55.5,4.973394074,0
65,4.938354618,0
42.5,5.052541288,0
44.5,5.028712211,0
59.5,4.926348916,0
54.5,5.056992711,0
121.5,5.052253571,0
49.5,5.052469982,0
64,4.926348916,0
57,5.012509874,0
26.5,4.937935321,0
59.5,5.052412742,0
42.5,5.0131522,0
50.5,5.052588957,0
65.5,5.056654861,0
59.5,5.052423892,0
42.5,4.942764166,0
64,5.057510005,0
61,5.02849066,0
131.5,4.978049072,0
59.5,5.028578888,0
48.5,5.023953764,0
64.5,5.024361946,0
55.5,5.024096643,0
56.5,5.057182793,0
45.5,5.057124603,0
64,4.978061349,0
51.5,5.024076463,0
64.5,5.028371722,0
141.5,5.024483663,0
47.5,5.023809478,0
59.5,5.052544478,0
22.5,4.938072771,0
53.5,5.056975339,0
56.5,5.056770993,0
50,5.028672187,0
65,4.978041801,0
23,5.056986129,0
47,5.052417846,0
56.5,5.023719097,0
45.5,4.999982854,0
58,5.057000759,0
42.5,5.052183055,0
48,4.97781151,0
43.5,5.02357686,0
47.5,4.973265152,0
64,5.041393305,0
54.5,5.052287234,0
64,5.056906222,0
44.5,5.041636371,0
29,5.048500464,0
56.5,5.048352315,0
65,4.973127938,0
42.5,4.913460851,0
42.5,4.977926058,0
46,5.028225723,0
46,4.961870418,0
42.5,4.97767474,0
