CCC,Attack Surface
5.208309407,1
5.549689611,1
5.625870727,1
5.612310886,1
4.824492166,1
5.739694087,1
5.820551089,1
4.067582452,1
5.013323806,1
5.825962327,1
4.991450001,1
5.575975932,1
5.681929812,1
4.159356931,1
5.671867631,1
4.941483716,1
5.594525754,1
5.112930008,1
4.977383232,1
5.007340714,1
5.891103446,1
5.615224564,1
5.57941623,1
5.063423258,1
5.374816805,1
5.708739288,1
5.620115743,1
4.170793928,1
5.843496019,1
5.815408787,1
4.831508552,1
5.694057563,1
5.300134248,1
4.954890822,1
5.025532918,1
5.660669511,1
5.707821782,1
5.448098002,1
5.603304781,1
5.739239255,1
5.688032584,1
4.17052019,1
5.05839589,1
5.818573303,1
5.267645445,1
5.793015476,1
5.360045763,1
5.695061127,1
4.854251825,1
4.912676881,1
5.289509608,1
5.74393987,1
2.917126392,1
4.068726457,1
5.755618507,1
5.675831655,1
5.508375797,1
5.814154384,1
5.960764693,1
4.923884383,1
5.67554626,1
5.66461086,1
4.709964876,1
4.068907259,1
4.808823302,1
4.255484467,1
5.786746559,1
4.808880285,1
5.437567572,1
5.202820727,1
4.769800896,1
5.461148654,1
5.712236035,1
5.159834047,1
5.604184822,1
5.842680491,1
5.918109817,1
4.995060469,1
5.047938485,1
5.736419123,1
5.490166927,1
5.710437572,1
4.882759509,1
5.665723489,1
5.0087307,1
5.131694587,1
5.763999609,1
5.645057881,1
5.637848054,1
5.478917332,1
5.759197768,1
5.548434283,1
5.929348715,1
5.824915587,1
5.973026681,1
5.295845792,1
5.516208801,1
5.605308675,1
5.147651199,1
2.215563581,1
5.718150426,1
4.942390478,1
5.570623025,1
5.078826965,1
5.773260045,1
2.884915885,1
5.052281619,1
5.008397168,1
5.7806025,1
5.042738104,1
5.078849232,1
5.712873692,1
5.700945609,1
4.462923893,1
5.40029829,1
5.38759922,1
5.372948855,1
5.782548607,1
5.555884985,1
4.938987396,1
4.934255003,1
6.088537891,1
4.807123941,1
4.75014445,1
5.220765006,1
5.721780756,1
4.940884087,1
5.861029208,1
5.82693579,1
5.6105126,1
5.757574426,1
5.692330472,1
5.041475029,1
5.047938485,1
5.564344772,1
5.106914917,1
5.675602503,1
4.810203622,1
5.835101266,1
5.147806143,1
5.598330379,1
4.65606443,1
5.789289344,1
5.566745672,1
5.597256755,1
2.741056013,1
5.739823344,1
5.799010391,1
5.653957814,1
2.913735962,1
5.033257208,1
5.795011923,1
5.363596623,1
4.156668692,1
5.127941608,1
5.757452022,1
5.689453573,1
5.709091917,1
5.071064446,1
5.863093864,1
5.695545028,1
5.907720511,1
4.955392412,1
5.950178723,1
5.665627922,1
5.975695831,1
5.926996273,1
5.75879035,1
5.726075609,1
5.170974418,1
5.158227101,1
5.037059414,1
5.755828789,1
5.539879155,1
2.88492671,1
5.746455596,1
5.158100367,1
5.733071677,1
5.058860735,1
5.622059515,1
5.13895564,1
5.012100135,1
5.45539677,1
5.528097882,1
5.744683918,1
5.00116902,1
5.754874106,1
5.917374248,1
5.464228204,1
5.895075805,1
4.70789978,1
2.894967232,1
5.213899039,1
5.029679858,1
5.553511415,1
4.995060469,1
5.954081046,1
5.767070307,1
5.752567384,1
5.58316498,1
5.155851932,1
5.861024214,1
5.425625009,1
5.419116814,1
5.11681969,1
4.686689019,1
5.118205935,1
5.82253239,1
5.789912037,1
2.901700192,1
4.915645938,1
5.130278331,1
5.87249333,1
5.608487932,1
5.305290503,1
5.621764065,1
5.116490168,1
4.841426438,1
5.956233067,1
5.382282351,1
5.275260027,1
5.785452923,1
5.862234143,1
2.867516391,1
5.790355643,1
5.84083943,1
5.732382458,1
5.088692791,1
5.650035825,1
4.839066816,1
5.116490168,1
5.59363381,1
5.868967283,1
5.510944257,1
5.80541817,1
4.976606614,1
5.724891087,1
5.449542546,1
5.486847935,1
5.549189839,1
5.112977942,1
5.147916602,1
2.957529602,1
4.60237793,1
5.872490001,1
2.7410781,1
5.267163686,1
2.867462776,1
5.914629501,1
5.120601429,1
5.920544708,1
5.04497463,1
4.852238711,1
5.606152042,1
5.815408787,1
4.604737084,1
5.950273021,1
5.374816117,1
4.85823848,1
5.082300694,1
5.73031033,1
5.383971784,1
5.148239576,1
5.478925729,1
5.561338523,1
6.253677409,1
2.901716339,1
5.781150322,1
5.162353076,1
5.583035206,1
5.047938485,1
5.907825181,1
5.907441274,1
4.604135267,1
5.297716743,1
4.890945752,1
5.726668958,1
5.589957191,1
5.629409058,1
5.463583465,1
5.100238734,1
3.940938535,1
5.773635291,1
5.597390023,1
5.646481318,1
5.11681969,1
5.833062266,1
2.917116973,1
5.956018467,1
5.597166738,1
5.916572173,1
5.661070315,1
5.980581945,1
5.974892172,1
5.603309076,1
5.952181094,1
4.764430816,1
5.384273006,1
5.815880018,1
5.851986547,1
4.639327963,1
5.115403156,1
5.836262182,1
4.890862841,1
5.107459846,1
5.611644564,1
5.866327632,1
4.917647735,1
5.774019167,1
5.613272255,1
5.266009068,1
5.607964507,1
4.687250377,1
5.431022017,1
5.536667595,1
5.429014604,1
5.133481692,1
4.646429883,1
5.9111012,1
5.221925376,1
5.250906278,1
5.895523513,1
5.267836029,1
4.97997721,1
5.721679276,1
2.742380526,1
4.931211497,1
5.280556268,1
5.649277049,1
5.153405108,1
5.605543355,1
5.11681969,1
4.897956174,1
5.966313132,1
5.3835496,1
5.513396118,1
2.884884762,1
5.594584776,1
4.901619658,1
5.353436577,1
5.500511907,1
5.81968455,1
5.90609451,1
5.703437895,1
5.559432666,1
5.740862925,1
5.126636645,1
5.927000053,1
4.885762867,1
5.389270159,1
5.030491875,1
5.728217973,1
5.320443967,1
5.960768385,1
4.65946702,1
5.542721715,1
5.463942364,1
5.763674396,1
5.541108226,1
5.108477267,1
5.486851712,1
5.559185479,1
4.813941141,1
2.741057486,1
4.610078475,1
2.894975649,1
5.817123041,1
5.604208442,1
2.741060431,1
4.932996062,1
5.590081194,1
4.88577877,1
4.951954206,1
5.453227556,1
5.43786197,1
4.968230143,1
5.629473982,1
5.705213223,1
4.771808007,1
5.196101134,1
3.123606176,1
4.939105626,1
5.595782534,1
5.786223041,1
4.844982368,1
5.427096758,1
2.857772444,1
5.914631126,1
5.730538816,1
5.489475889,1
5.091476323,1
5.852220725,1
5.899654478,1
5.61887225,1
5.106914917,1
4.85050478,1
5.690632043,1
5.920547465,1
5.645418629,1
5.221515069,1
4.984656562,1
5.752075297,1
5.658838807,1
5.806613912,1
5.60630708,1
5.881818384,1
5.225134204,1
5.526515224,1
5.648356875,1
5.039424822,1
6.006205821,1
5.495921376,1
5.091247718,1
4.88340504,1
5.384502332,1
5.416571622,1
5.561962051,1
5.913074344,1
5.758609235,1
5.311122111,1
5.905401285,1
4.671088575,1
5.561576201,1
5.039417279,1
5.643072574,1
5.668437055,1
5.706583404,1
5.77722544,1
5.593443956,1
5.096417067,1
5.573295546,1
5.861026434,1
5.32114724,1
5.253438765,1
5.895756077,1
5.614367015,1
5.736573659,1
5.191532689,1
5.306550336,1
5.11157888,1
5.870418505,1
5.098996276,1
5.862223566,1
3.926638785,1
5.497406211,1
4.912841017,1
5.529343977,1
4.801836,1
5.519694846,1
5.610583159,1
5.523037019,1
5.91657109,1
5.680457396,1
5.504512493,1
5.372911992,1
5.462736629,1
5.81588171,1
5.753940199,1
4.70291073,1
5.263145618,1
5.285056568,1
5.12243784,1
5.858689682,1
5.401051611,1
5.147645552,1
