RMC,CCC
34.5,5.052182417
49.5,5.048122993
32,5.052399313
58,5.062129564
31,4.961480237
39.5,5.028200965
33,5.05719532
34.5,5.052549917
46.5,4.926545214
22,4.942451093
32,5.052541318
58.5,5.057135199
56.5,5.056647845
51,5.052413957
56.5,4.942392731
64,5.04137197
51,4.977690416
23,4.961841854
62,5.057003246
42.5,5.052279335
48.5,5.019643345
45.5,5.048489007
42.5,5.0477961
48,5.052533632
42.5,5.028201484
56.5,5.02835784
57.5,5.056996967
42.5,5.05203795
42.5,5.028438678
45.5,5.01998185
42.5,5.024076463
52.5,4.961843752
42.5,4.942775323
54,5.052398037
27,4.999634367
31.5,5.052589383
50,5.028497142
23,4.978046145
62,5.05241341
30.5,5.023945936
48,4.926370188
26,5.052417816
63,5.012888073
22,4.94276388
45,4.937937196
22.5,5.012877859
57.5,5.028284306
36,4.949006467
42.5,4.937934304
36,5.056971092
57,5.028246179
32,4.978049135
58,5.052176036
26,4.937573655
45.5,5.052175277
31.5,4.973132289
38.5,5.04138471
51.5,5.023901999
33.5,4.999594795
57,5.052541653
26,4.942764356
42.5,4.937573464
29.5,4.913462067
46.5,5.028423903
32,5.028490477
46.5,5.04177843
24.5,4.948635826
50,5.052172725
38.5,5.052553714
49,5.041006504
23.5,5.028624948
43.5,4.999972823
37.5,5.052421614
50.5,5.056637692
24,5.028632836
42.5,5.023945355
24.5,5.052163154
22,4.942764293
54.5,5.062289437
37.5,5.048910022
47.5,5.024251504
22,5.028191013
50,5.023954589
30,5.057006037
41,5.056755782
50.5,4.942392922
36,5.028383799
42.5,4.926485767
26,5.056867107
42.5,4.93756369
28,5.052412286
37.5,4.912991633
50.5,4.933157104
28.5,5.0569882
43.5,5.028412326
22,5.023954589
22.5,4.926242921
47,4.938083023
36,5.05681375
54,5.056774983
25,5.048132685
31,5.052406088
49.5,5.057143267
25,5.028565456
61,5.028136199
23,4.973259382
42.5,4.937944619
27.5,5.023698764
43.5,4.961846789
32,4.978046428
33.5,4.942766229
58,5.052050316
27,5.008427336
51,4.942392445
25,5.057132924
59,5.052176796
28,4.973212215
25,5.052160299
33.5,5.052551162
33,5.057124785
59,5.056999515
22,4.937690094
62,5.052551162
31.5,5.033619617
33,5.052293068
58,5.057005521
24,5.019721529
43.5,4.937808249
22.5,5.024076463
55,5.028261008
35,5.02448382
55,5.024599972
26.5,5.02831405
43.5,5.028562037
23,5.028701606
27.5,4.949004277
30.5,5.052283376
33,5.056996997
38.5,5.052598376
48.5,5.023708151
59.5,5.028692814
27,4.977857153
54,5.052175915
26.5,5.000105694
27,5.028559778
47,4.942550108
38.5,4.973269125
42.5,4.937689712
35,5.052173454
48.5,5.052399222
31,5.02370384
37,5.052389713
29,5.048139821
35.5,5.040890077
52.5,4.973236681
26,4.942384054
31.5,5.048498881
42.5,4.937945096
33,5.057001032
35,5.012877369
35.5,4.973037198
49.5,5.052532417
39.5,5.028496103
48.5,5.056841809
26,4.938354872
26,4.942394984
23,5.02357579
56,5.012407732
22,4.937993206
62,5.05654129
27,5.019749228
24,5.024172838
