CCC,Execution Time
4.942392445,1
4.937934621,1
5.056723537,0
5.056786753,1
5.052182417,1
5.048122993,0
5.052399313,0
5.062129564,0
4.961480237,0
5.028200965,1
5.05719532,0
5.052549917,0
4.926545214,1
4.942451093,0
5.052541318,0
5.057135199,1
5.056647845,1
5.052413957,1
4.942392731,1
5.04137197,0
4.977690416,0
4.961841854,1
5.057003246,1
5.052279335,0
5.019643345,0
5.048489007,1
5.0477961,0
5.052533632,1
5.028201484,0
5.02835784,1
5.056996967,0
5.05203795,0
5.028438678,1
5.01998185,0
5.024076463,0
4.961843752,0
4.942775323,0
5.052398037,0
4.999634367,1
5.052589383,1
5.028497142,0
4.978046145,0
5.05241341,0
5.023945936,1
4.926370188,1
5.052417816,0
5.012888073,0
4.94276388,1
4.937937196,0
5.012877859,1
5.028284306,1
4.949006467,0
4.937934304,1
5.056971092,0
5.028246179,1
4.978049135,1
5.052176036,1
4.937573655,1
5.052175277,1
4.973132289,1
5.04138471,1
5.023901999,1
4.999594795,1
5.052541653,1
4.942764356,0
4.937573464,0
4.913462067,0
5.028423903,0
5.028490477,0
5.04177843,1
4.948635826,0
5.052172725,0
5.052553714,0
5.041006504,0
5.028624948,1
4.999972823,1
5.052421614,0
5.056637692,0
5.028632836,1
5.023945355,1
5.052163154,0
4.942764293,1
5.062289437,1
5.048910022,0
