RMC,CCC,Complexity
4.333333333,4.215060886,1
2.333333333,5.129932061,1
4.333333333,5.974891636,1
4.333333333,5.58999332,1
3.833333333,5.277973819,1
3.333333333,5.757155315,1
4.333333333,5.638133984,1
3.833333333,5.593746962,1
4.333333333,6.025532125,1
3.833333333,5.87049453,1
1.333333333,4.110743489,1
4.333333333,4.337730037,1
3.333333333,5.650382458,1
2.833333333,5.328884042,1
2.333333333,2.742404512,1
1.833333333,5.014570762,1
3.833333333,5.70040358,1
1.833333333,2.74108399,1
2.833333333,5.72849947,1
3.333333333,5.50896746,1
3.833333333,5.62942625,1
1.833333333,5.211604702,1
5.333333333,5.961609044,1
4.333333333,5.738119739,1
2.833333333,5.621077127,1
2.833333333,5.185276128,1
3.666666667,5.542649299,1
2.333333333,5.286216209,1
1.833333333,2.741056013,1
2.333333333,5.445575556,1
3.333333333,5.320395338,1
1.333333333,4.472058192,1
2.333333333,5.312561683,1
3.333333333,5.726744964,1
3.333333333,5.805414737,1
2.333333333,5.494271908,1
4.333333333,5.389848279,1
4.333333333,5.814539574,1
2.333333333,5.07875523,1
1.833333333,5.486851712,1
4.333333333,5.851653073,1
3.333333333,5.728274696,1
1.333333333,4.891028364,1
4.333333333,5.93132705,1
1.333333333,5.116442235,1
3.833333333,5.564337797,1
3.833333333,5.621566729,1
4.333333333,5.674194421,1
3.333333333,3.931647283,1
2.833333333,5.560575795,1
3.333333333,5.680594846,1
3.833333333,5.718775039,1
4.333333333,5.894208734,1
1.333333333,4.171431263,1
3.333333333,5.777237502,1
4.333333333,5.789564404,1
3.833333333,5.862233587,1
3.833333333,5.569770654,1
3.833333333,5.826907518,1
3.833333333,5.597942271,1
2.833333333,5.603176177,1
4.333333333,5.816501317,1
2.833333333,5.7719676,1
3.833333333,5.683955189,1
2.833333333,2.917137156,1
3.333333333,4.655053771,1
2.333333333,5.286128531,1
4.833333333,5.862232473,1
4.333333333,5.832737594,1
1.333333333,4.162265665,1
2.333333333,5.377042457,1
2.833333333,4.996174869,1
3.333333333,5.598335058,1
1.833333333,5.384769654,1
3.833333333,5.704630966,1
4.333333333,5.835006648,1
3.333333333,5.917349061,1
2.833333333,5.709316361,1
2.333333333,5.41179988,1
3.833333333,5.722810076,1
1.333333333,4.068599343,1
3.333333333,3.905111912,1
3.333333333,5.033473538,1
2.333333333,5.566579203,1
2.333333333,2.867496638,1
2.833333333,5.796752608,1
1.333333333,4.4631916,1
3.833333333,5.092907468,1
3.833333333,5.861023659,1
4.333333333,5.590152575,1
2.833333333,5.643610766,1
3.833333333,5.77874699,1
3.833333333,5.774596241,1
5.333333333,5.650951559,1
4.833333333,5.924962801,1
1.333333333,4.462923893,1
3.833333333,4.271933036,1
4.333333333,5.739461961,1
1.833333333,5.057109745,1
3.333333333,5.46626096,1
3.333333333,4.655045079,1
3.833333333,5.574422671,1
2.333333333,5.240801408,1
4.333333333,5.364564926,1
3.333333333,5.550828166,1
1.333333333,4.162654362,1
2.333333333,3.817501975,1
3.333333333,5.142170605,1
4.333333333,5.873840084,1
1.833333333,5.058570878,1
2.333333333,4.609488952,1
3.833333333,5.776708358,1
1.833333333,4.871350381,1
3.833333333,5.587180674,1
3.333333333,5.735309885,1
3.833333333,5.818259715,1
2.333333333,5.328322021,1
4.833333333,6.010510977,1
2.833333333,4.677914541,1
4.833333333,5.685618056,1
4.333333333,5.691356352,1
3.166666667,5.833868538,1
3.833333333,5.664705987,1
2.833333333,5.659224568,1
2.833333333,4.982786805,1
4.333333333,5.738770733,1
1.833333333,5.067612543,1
1.833333333,5.233793841,1
2.333333333,5.325230771,1
3.333333333,4.823763094,1
1.333333333,4.067386717,1
2.333333333,3.758046386,1
2.333333333,2.894972843,1
1.333333333,4.470288461,1
3.833333333,3.936647214,1
3.833333333,5.625560577,1
1.833333333,5.383382727,1
2.333333333,4.851299056,1
2.833333333,5.09992714,1
3.833333333,5.920542502,1
3.833333333,5.199230072,1
3.833333333,5.54276011,1
4.333333333,5.7052744,1
3.833333333,5.851653073,1
3.333333333,5.810484248,1
2.833333333,4.686612477,1
3.833333333,5.54308976,1
2.333333333,5.594305754,1
4.833333333,5.954391949,1
3.833333333,5.530350094,1
2.333333333,5.122637428,1
4.833333333,5.641724616,1
1.333333333,4.809507094,1
3.833333333,5.638276482,1
2.833333333,5.670736267,1
2.333333333,5.106978602,1
4.833333333,5.89238213,1
3.333333333,5.585897817,1
3.833333333,5.737518355,1
2.833333333,4.806535748,1
3.333333333,5.378147393,1
3.833333333,5.271233603,1
2.333333333,4.711699833,1
1.333333333,5.116490168,1
1.333333333,4.891272273,1
4.833333333,5.64044534,1
3.333333333,5.454117518,1
2.333333333,5.595777626,1
3.833333333,5.860257264,1
3.833333333,5.839756548,1
3.833333333,5.520582182,1
3.333333333,3.725194051,1
1.833333333,4.893805728,1
3.833333333,5.889683935,1
3.333333333,5.103960023,1
3.833333333,5.647103883,1
2.333333333,4.996819782,1
3.333333333,5.757064334,1
3.833333333,5.948004032,1
2.833333333,5.66199851,1
2.833333333,5.36193032,1
2.833333333,2.913742936,1
3.833333333,5.521019305,1
3.833333333,5.516568064,1
1.833333333,4.915545869,1
3.833333333,5.587748483,1
3.833333333,5.648110736,1
2.833333333,2.884902353,1
1.833333333,5.003433378,1
3.333333333,5.556725488,1
1.833333333,4.995007867,1
1.333333333,5.047933976,1
2.833333333,2.884891527,1
3.833333333,5.392905653,1
4.833333333,6.010514122,1
3.333333333,5.764767301,1
2.833333333,4.686731528,1
3.333333333,5.724305383,1
3.333333333,5.421963149,1
3.333333333,5.582813393,1
1.333333333,5.113540081,1
2.833333333,5.658787084,1
3.333333333,5.690154445,1
3.833333333,5.587258785,1
4.333333333,5.899809292,1
4.333333333,5.743322064,1
2.333333333,2.742381937,1
4.833333333,5.854006102,1
1.833333333,5.540880268,1
3.333333333,5.711635424,1
2.333333333,4.882346561,1
2.333333333,5.489863079,1
4.333333333,5.907728231,1
3.333333333,5.042898724,1
3.333333333,5.773129278,1
4.333333333,5.799305437,1
1.833333333,5.392126441,1
3.833333333,2.877928087,1
3.833333333,5.764906475,1
5,6.010520412,1
3.833333333,5.375055335,1
1.333333333,5.106866984,1
1.833333333,4.940290178,1
2.333333333,3.626257759,1
4.333333333,5.947702469,1
2.833333333,5.352459265,1
3.333333333,5.58040872,1
3.833333333,5.831308574,1
3.333333333,5.5921964,1
3.333333333,5.514134846,1
1.333333333,5.106866984,1
3.333333333,5.664815363,1
2.333333333,5.076215403,1
3.333333333,5.317641419,1
4.333333333,5.654467319,1
2.333333333,5.035757871,1
3.833333333,5.396742446,1
3.333333333,3.981299038,1
1.833333333,5.397043234,1
2.833333333,5.724308391,1
2.333333333,4.966010296,1
4.333333333,5.735433076,1
2.833333333,4.062348883,1
3.333333333,5.232444196,1
1.333333333,5.047890552,1
3.333333333,5.710581019,1
2.333333333,5.253289678,1
4.333333333,5.914628959,1
4.333333333,5.92359912,1
2.833333333,5.06699166,1
3.833333333,5.49572138,1
4.833333333,5.44606089,1
