CCL,PLC,Attack
294.8598511,279.1646309,0.030455243
282.6628287,268.7129105,0.02944571
278.7205972,272.4670417,0.030455243
257.9552405,242.3510545,0.026417304
286.3667946,269.8678575,0.029878364
256.4861188,250.0077783,0.028003573
268.6976669,255.5542715,0.027570945
285.8794208,275.9904375,0.031320579
254.3798062,244.2429387,0.027570945
272.7977767,256.4086287,0.029589927
200.889411,206.6769637,0.023821823
272.7483681,262.5923687,0.029013062
289.4565767,275.1795119,0.029589927
250.8534623,241.4913332,0.027138324
290.0226061,276.3510877,0.031753254
204.9794207,202.9059451,0.024686947
264.4210642,268.4380215,0.029589927
254.9941933,242.3488896,0.026417304
288.6778034,274.4960557,0.029878364
265.4450588,248.1187075,0.02728253
299.0793913,276.4788194,0.031464804
299.4720305,275.0402136,0.031032132
255.9874966,245.5141667,0.027570945
277.8227902,268.5302634,0.030311022
275.3293826,262.3156473,0.030311022
274.090559,274.7638798,0.030455243
295.3027478,274.0550509,0.031032132
284.7517925,271.9296875,0.030743686
289.4651921,276.3043065,0.030887909
298.7508402,276.6109697,0.031464804
145.6188759,139.6390078,0.021082562
288.6681351,274.8128264,0.030599465
261.9512393,250.4306138,0.027570945
254.9941933,242.3532194,0.026417304
276.5713384,265.2498979,0.02944571
284.5859983,270.8128955,0.029878364
298.2249117,275.2870138,0.031464804
286.2967986,274.7001289,0.029589927
289.1650665,274.9764607,0.030455243
144.221131,140.7270916,0.020650096
299.2182802,275.5288614,0.031464804
144.221131,140.6486646,0.020650096
272.2804168,274.0766687,0.030022583
283.4635513,272.3204732,0.031320579
252.9662023,245.0847552,0.027138324
282.836992,269.6155777,0.030022583
290.3590483,275.4559825,0.029878364
286.7932159,272.8748105,0.030022583
284.7909721,269.0550319,0.029878364
202.5587677,207.6436214,0.023821823
282.5559073,271.1895765,0.029878364
280.8441621,272.8301359,0.030887909
276.6846086,261.6303079,0.028724633
286.7118794,273.691548,0.031753254
254.8854264,256.4465545,0.027426737
245.2871327,237.7546173,0.019496937
254.409936,245.8840261,0.034205156
293.3024335,273.5715606,0.031032132
281.3920602,269.4536705,0.029878364
254.767626,245.4888333,0.02728253
286.2911024,273.6708796,0.031320579
304.5322296,276.6614416,0.031464804
244.9541827,239.6330996,0.019641075
280.42308,267.6048422,0.036512933
257.8809125,207.7459241,0.010320634
257.776362,207.5053993,0.010320634
257.8611158,207.6670826,0.010320634
256.2627689,207.9541937,0.010320634
257.784911,207.5083938,0.010320634
255.876522,207.2759982,0.010320634
257.8354727,207.5090895,0.010320634
255.8544049,207.2431639,0.010320634
257.116971,207.2850877,0.010320634
257.7892792,207.7331972,0.010320634
257.1455506,207.9175575,0.010320634
257.1352744,208.1445648,0.010320634
257.832853,207.3349894,0.010320634
257.7894491,207.503902,0.010320634
257.8174274,207.9208258,0.010320634
257.8774781,207.6655853,0.010320634
257.8279689,207.503902,0.010320634
258.392492,209.1452519,0.010320634
257.8136715,207.4738254,0.010320634
256.9650384,207.5203721,0.010320634
257.1568673,207.9250271,0.010320634
257.8546099,207.5211207,0.010320634
256.3495885,207.5024047,0.010320634
256.2633921,207.4926724,0.010406627
257.8637684,207.5330989,0.010320634
257.8139895,207.433656,0.010320634
257.7983241,207.5091425,0.010320634
255.9807919,207.5136343,0.010320634
256.5330157,207.7354431,0.010320634
256.2210539,207.5293557,0.010406627
255.7970661,207.5016561,0.010320634
256.4346152,209.0965278,0.010320634
257.8931339,207.5082628,0.010320634
257.9269771,207.2766157,0.010320634
257.7920878,207.5725197,0.010320634
257.9254143,207.557804,0.010320634
257.8871516,207.5330989,0.010320634
257.8706052,207.2455762,0.010320634
257.8732429,207.5211207,0.010320634
257.7805763,207.5414423,0.010320634
257.9158792,207.5353448,0.010320634
256.7904793,207.6536071,0.010320634
257.8506873,207.5173775,0.010320634
257.8234826,207.4700822,0.010320634
257.8400636,207.5181261,0.010320634
257.8405566,207.4854431,0.010320634
258.408016,209.3802961,0.010320634
257.8021496,207.512137,0.010320634
257.8167685,207.2477969,0.010320634
257.8383988,207.6431261,0.010320634
257.9454924,207.4178312,0.010406627
255.8072005,207.5605414,0.010320634
257.8829866,207.4970735,0.010320634
257.7933459,207.305301,0.010320634
257.8108535,207.2379235,0.010320634
257.801422,207.4964156,0.010320634
257.1092775,207.922404,0.010320634
257.8009609,207.2527652,0.010320634
257.0972671,207.9041122,0.010406627
257.7656859,207.4730767,0.010320634
257.8201258,207.5211207,0.010320634
257.8884555,207.6201754,0.010320634
257.7918368,207.4994102,0.010320634
257.7923241,207.3533172,0.010320634
257.8012877,207.5068966,0.010320634
257.8969927,207.6907819,0.010320634
258.3033869,207.9298292,0.010320634
257.8807848,207.6678312,0.010320634
257.7996951,207.5181261,0.010320634
254.8677964,207.9532485,0.010320634
257.8498648,207.5211207,0.010320634
257.7777083,207.530853,0.010320634
257.801356,207.5012729,0.010320634
257.8645127,207.5188748,0.010320634
255.8070271,209.1280512,0.010320634
258.4541122,207.8559705,0.010320634
257.8555711,207.5211207,0.010320634
256.9771556,207.5173775,0.010320634
257.8638495,207.4494177,0.010320634
256.1265252,207.6175413,0.010320634
257.8461436,207.5263612,0.010320634
257.8797139,207.5233666,0.010320634
257.8576367,207.5053993,0.010320634
257.883382,207.631405,0.010320634
257.8364261,207.3060496,0.010320634
257.8153128,207.503902,0.010320634
257.7743204,207.4835577,0.010320634
258.455821,209.1638011,0.010320634
257.8644474,207.6205359,0.010320634
257.8182324,207.6543557,0.010320634
257.9483465,207.9380445,0.010320634
257.8077565,207.5158802,0.010320634
257.8075647,207.5672792,0.010320634
258.384192,207.9964409,0.010320634
257.8330915,207.5203721,0.010320634
257.8120539,207.2828418,0.010320634
257.8803749,207.5173775,0.010320634
257.8237883,207.5248639,0.010320634
257.8118024,207.5076452,0.010320634
257.8515806,207.5136343,0.010320634
257.7862328,207.4775686,0.010320634
257.8128283,207.5083938,0.010320634
257.8413759,207.5211207,0.010320634
255.8890508,207.4013612,0.010320634
257.8002892,207.5091425,0.010320634
257.8024151,207.6096945,0.010320634
257.8508104,207.5293557,0.010320634
257.8209321,207.4922893,0.010320634
257.8303428,207.5136343,0.010320634
257.8264902,207.5196234,0.010320634
257.795483,207.5031534,0.010320634
257.0814199,207.8631925,0.010320634
258.2969942,209.141542,0.010320634
257.7867131,207.5166289,0.010320634
256.7375389,207.5218693,0.010320634
257.8072488,207.5046506,0.010320634
257.8555222,207.5098911,0.010320634
257.871499,207.522618,0.010320634
257.8216563,207.4858036,0.010320634
256.0591385,207.2858364,0.010320634
257.8482505,207.522618,0.010320634
257.8349625,207.4377874,0.010320634
255.7351685,207.5151316,0.010320634
257.8896227,207.5022736,0.010320634
257.8400938,207.647618,0.010406627
257.893093,207.6332628,0.010320634
258.384233,209.7523282,0.010320634
257.8770789,207.6696889,0.010578615
257.6905986,207.5098911,0.010320634
257.7852168,207.8038037,0.010320634
257.8479402,207.6625907,0.010320634
257.8918311,207.5045196,0.010320634
257.79343,207.4994102,0.010320634
257.8699363,207.5777601,0.010320634
257.9074255,207.6768149,0.010320634
257.7159927,209.4334393,0.010320634
257.3886015,207.5211207,0.010320634
257.8370764,207.6378857,0.010320634
257.8035081,207.5143829,0.010320634
257.8598929,207.6223281,0.010320634
257.8097523,207.647618,0.010320634
257.7985502,207.5024047,0.010320634
257.7756022,207.5248639,0.010320634
257.6638432,207.522618,0.010320634
257.8129475,207.4949183,0.010320634
257.8953283,207.530853,0.010320634
257.8033302,207.6588475,0.010320634
257.8495223,207.5917272,0.010320634
257.8242589,207.4928136,0.010320634
257.8498155,207.5166289,0.010320634
257.8910204,207.5181261,0.010320634
257.8772892,207.4903912,0.010320634
257.8424725,207.5256125,0.010320634
256.9190395,207.4914322,0.010320634
257.8750578,207.5510662,0.010320634
257.5126183,208.7304096,0.010320634
257.8788677,207.5755142,0.010320634
257.8201227,207.5567982,0.010320634
