CCL,PLC,Attack Surface
73.85180375,40.33868502,0.011208293
73.52545455,40.32721713,0.011208293
76.13561328,42.76843658,0.011208293
73.55454545,40.33868502,0.011208293
76.13359307,42.76622419,0.011208293
73.53900433,40.33180428,0.011208293
76.14142136,42.77064897,0.011208293
76.09911977,42.68067847,0.011208293
73.5969697,40.33409786,0.011208293
73.5963925,40.33409786,0.011208293
265.5242523,255.4911942,0.026849913
258.153482,245.2823407,0.027715153
276.8843723,264.623271,0.028724633
294.3042097,278.2337204,0.031032132
290.2098053,276.6486076,0.030599465
292.9801159,277.177453,0.032618617
270.5360495,271.4676011,0.030022583
56.31313776,232.8594548,0.031464804
272.1299673,262.4749602,0.029013062
270.3263744,259.0866975,0.029157277
292.9704881,277.2834207,0.029589927
270.1543902,256.1078734,0.029878364
269.2333067,252.0300514,0.027715153
256.614386,248.6030339,0.028291995
281.2612366,265.0170823,0.028724633
137.7332112,137.5430384,0.020217647
286.2444554,274.8346822,0.031320579
283.4086799,269.0564891,0.030743686
257.2439138,246.0696785,0.026849913
287.9920889,274.609859,0.030455243
246.1670198,253.1223472,0.026994118
293.9378873,278.4702012,0.031032132
242.5985849,235.7884209,0.026273103
280.0849554,267.2404863,0.02944571
290.4560163,274.1989301,0.030599465
288.0825067,269.6958241,0.029157277
261.5683705,255.1087074,0.028147783
282.1795146,273.9508365,0.030887909
251.3531309,243.5974669,0.026705709
289.7263576,269.4740579,0.029157277
291.1506976,274.4003053,0.030599465
276.8437009,257.8256123,0.029157277
284.0293647,271.105139,0.02944571
146.0086594,139.7791089,0.021515042
257.624115,243.6538211,0.026417304
293.3387319,276.8329529,0.031320579
272.5149902,265.646075,0.029013062
294.4997285,273.3539724,0.031032132
241.1381656,246.0522601,0.026128902
288.4452099,274.832572,0.031753254
241.5503795,236.2720491,0.027138324
300.8323503,277.3448197,0.030599465
290.1663088,276.1418077,0.030311022
137.7332112,137.5766937,0.020217647
262.6525108,253.7328313,0.027715153
192.8870176,208.5446202,0.022524216
289.4644007,275.0717835,0.030599465
137.7332112,137.5842168,0.020217647
262.3163957,254.9002525,0.028436207
287.7944644,273.4329141,0.031753254
280.0787587,266.142505,0.028724633
280.5799656,269.9104998,0.030311022
264.5749117,248.3236334,0.026849913
205.5498954,226.0179094,0.019641075
189.5500802,194.5927921,0.026705709
289.3396307,276.9495627,0.030022583
291.4237693,275.0226013,0.031032132
225.1104728,232.764522,0.019641075
176.9063969,197.0555178,0.02180337
284.5383773,266.5099773,0.032907075
282.4847121,268.9440718,0.030022583
235.6427464,238.2931926,0.026273103
245.6043492,249.3021052,0.025263718
259.6804788,250.9624771,0.028868847
260.5452745,249.8406624,0.028003573
261.6980691,249.7846644,0.02728253
282.5048982,270.2291004,0.030743686
282.9325449,266.9600188,0.029878364
282.2005795,271.6503626,0.030311022
242.5466829,233.7648016,0.025840504
290.0443721,274.4735684,0.029157277
273.1752417,255.2355906,0.029301493
137.8502976,136.1143647,0.020650096
264.9972931,252.8555408,0.028436207
270.2654408,254.8649609,0.029013062
290.2103428,275.8919429,0.031753254
301.0721336,277.617816,0.031464804
290.0256883,276.2965802,0.030311022
280.7258012,268.2877414,0.029157277
279.1639369,268.0938488,0.02944571
295.9567328,274.5951156,0.031032132
289.6465359,276.2079939,0.030022583
205.1662295,225.4575308,0.019641075
298.8691513,274.0554521,0.037811094
246.496188,244.4559809,0.026994118
247.2004529,240.9475154,0.026705709
263.2256051,246.898958,0.027715153
293.8253128,272.4615076,0.031032132
298.2944103,277.6813177,0.031176355
291.127627,276.4092533,0.030455243
210.3946035,226.0302302,0.019641075
218.1837619,201.0893907,0.030455243
284.9468563,274.3203599,0.030887909
285.1820995,268.186419,0.029157277
279.2125945,271.1601211,0.030455243
282.5918474,271.0422885,0.029878364
254.1740411,248.806263,0.027138324
267.1982017,252.3772145,0.028147783
279.9135426,262.6717431,0.029878364
256.1650028,247.7406236,0.027138324
160.500568,158.2123903,0.021659205
287.298644,274.3756228,0.031320579
286.1088234,269.1851918,0.029589927
292.8789275,275.1233415,0.029589927
293.4985704,275.696058,0.030599465
275.2315204,264.5651568,0.02944571
270.5865695,255.7118142,0.028868847
285.8092693,270.6027315,0.030022583
294.5430958,272.3670419,0.031032132
282.1739324,265.8799566,0.02944571
283.3778997,264.8220733,0.028724633
282.939412,271.5568305,0.031320579
253.4688978,248.8863442,0.027138324
137.7332112,137.5743789,0.020217647
262.4676807,249.5463609,0.028436207
259.6524497,252.1475882,0.026849913
285.7067467,270.8143855,0.030599465
208.5450533,225.4430986,0.019641075
217.7022765,202.3632455,0.030022583
300.1749744,277.2642476,0.031464804
287.1704188,272.5667322,0.030311022
294.900355,279.1434502,0.030455243
283.3697583,272.4839526,0.030887909
291.6250705,275.9339052,0.029734145
244.6484762,251.3153272,0.026849913
288.8813445,272.6247627,0.030022583
287.1436527,276.8563034,0.031753254
145.1527294,139.6916698,0.021082562
260.3478302,255.7516867,0.02944571
264.7030084,246.8885047,0.027715153
257.1412596,246.3185104,0.02728253
295.9425052,274.4306001,0.030166802
283.2266675,270.2652407,0.029589927
254.2055995,245.8859734,0.027138324
281.6993825,269.4841927,0.031320579
266.3054054,257.0532409,0.029878364
291.0547025,272.4671344,0.030599465
286.1120981,270.9462714,0.029589927
247.6353301,250.7661904,0.02728253
254.2063097,245.8861098,0.027138324
260.920517,248.7999154,0.028003573
251.102063,244.0650194,0.02728253
279.1376742,268.0890948,0.02944571
274.1860563,255.6380112,0.02858042
208.5664543,225.4521531,0.019641075
214.5543253,202.7949511,0.029589927
272.8021573,255.8317215,0.028147783
273.1406867,256.6690321,0.030743686
291.9314531,277.2577884,0.031753254
276.8806738,266.0462498,0.029878364
268.3113348,252.1565588,0.02728253
268.1620114,255.1031206,0.028868847
263.2142063,260.7376494,0.028003573
254.5555241,241.8876483,0.019641075
254.5426754,247.5148623,0.034493623
290.1987144,275.1505796,0.029589927
262.8470495,248.605545,0.02728253
137.7332112,137.5040877,0.020217647
137.7332112,137.5293315,0.020217647
287.8877699,273.0844362,0.031320579
285.4258323,273.6146397,0.030022583
260.8461618,252.078743,0.026849913
245.7059571,239.7853175,0.026705709
257.4308037,246.4401413,0.026849913
276.8125228,260.5586581,0.029157277
284.4657117,272.8350975,0.030887909
258.6219618,260.3432669,0.02944571
249.8282987,248.1771713,0.027715153
270.9666094,262.8355481,0.029013062
290.4185986,273.6205421,0.030599465
290.4129343,275.3018941,0.029589927
249.5096313,242.0227221,0.027138324
288.3991622,275.6292966,0.030743686
260.2579253,250.3852914,0.027138324
293.534734,275.2882006,0.030599465
296.4060394,265.8682849,0.026849913
285.9646082,268.0807096,0.029157277
282.5466667,271.110501,0.029878364
266.8938519,254.2313461,0.028291995
246.959652,239.7956108,0.026705709
271.2515516,256.5603676,0.029013062
280.400573,267.3482652,0.029878364
296.2549162,276.8941067,0.031032132
232.9706625,236.429393,0.028003573
285.6521513,272.5801152,0.029878364
299.1972657,275.2739113,0.031032132
292.0795045,277.0345894,0.030455243
246.9429293,236.8015066,0.026561506
283.2690705,274.0279419,0.031320579
270.2117345,253.5767557,0.028147783
282.2072924,266.7268102,0.029878364
245.5905476,237.673995,0.025984702
279.5934179,269.4544478,0.029878364
295.3877381,274.4781694,0.030599465
301.1279819,276.7029295,0.031464804
233.8494802,235.8851962,0.026128902
304.3685479,282.3756799,0.031609028
279.873211,269.4928455,0.030166802
263.9028314,250.8955113,0.029301493
294.0747712,278.7775011,0.030455243
284.6730114,274.4718754,0.031320579
290.2060655,275.8432606,0.030022583
289.7201448,274.7374602,0.032185933
245.4324246,239.5857259,0.026705709
295.6151676,276.2444458,0.031032132
295.8583148,278.7259998,0.031320579
293.1416596,277.8773985,0.030022583
192.8897575,198.7819342,0.02425438
302.4476956,279.282076,0.031609028
291.9125757,276.858764,0.030455243
268.0034053,253.5789105,0.028436207
299.8427366,275.2490775,0.031464804
268.8431319,257.1453252,0.026417304
245.9706614,242.5939428,0.026994118
291.0209519,275.0979117,0.030599465
219.217341,217.0438236,0.024686947
296.3255679,273.7351669,0.031032132
144.221131,140.6486646,0.020650096
263.5039663,258.8364371,0.027859363
295.0266487,279.0129147,0.030455243
288.7236765,269.5636303,0.029589927
287.0106146,270.1642597,0.029589927
259.7157274,252.5084539,0.028436207
284.6337943,270.3785738,0.02944571
278.3463998,267.624441,0.029878364
290.4565533,272.5188463,0.030166802
284.4406907,268.0461979,0.029878364
281.5342245,272.1023952,0.02944571
296.0661054,281.4617724,0.031464804
292.142717,278.7843588,0.030599465
206.5300217,203.6503216,0.025552109
263.3937115,251.658583,0.02728253
291.2655676,275.8690968,0.031753254
256.7405607,251.1816601,0.029013062
258.3247292,242.4057514,0.019641075
