CCC,AttackSurface
5.024065975,0.004510113
5.056749229,0.004510113
5.000116064,0.004510113
4.93757553,0.002054552
5.052414352,0.00452509
5.057005733,0.004510113
5.023945172,0.002054552
5.028322645,0.004465182
5.028283909,0.002054552
4.973266665,0.004510113
5.052421614,0.002054552
5.052415476,0.00452509
5.048363011,0.002054552
5.056867805,0.004510113
5.058336635,0.002054552
4.973269408,0.00452509
4.942901581,0.002054552
4.926124089,0.004330391
5.023955659,0.00452509
4.942432401,0.004510113
5.052414838,0.00452509
5.06216197,0.002054552
5.03406896,0.004510113
4.978048191,0.002054552
5.056719715,0.004510113
5.02436057,0.002054552
5.034120956,0.004450205
5.028322371,0.004450205
5.056861313,0.002054552
5.019643804,0.004510113
4.977970882,0.002054552
5.052541926,0.004510113
4.942392731,0.002054552
5.05254147,0.004495136
4.977670868,0.002054552
4.926476789,0.004420252
5.041381053,0.002054552
4.937573178,0.004510113
4.961711878,0.002054552
4.942627385,0.004405275
5.028122654,0.002054552
5.056622525,0.004510113
5.052424166,0.002054552
5.057126159,0.004510113
5.012761056,0.002054552
5.057124066,0.004510113
5.052183328,0.004510113
5.056747279,0.002054552
4.937573655,0.00452509
5.052550706,0.002054552
4.899407039,0.00452509
4.977878715,0.002054552
5.052030051,0.00452509
5.041380992,0.002054552
4.937690952,0.004510113
4.937662232,0.002054552
5.028488764,0.00452509
5.056968817,0.002054552
4.942392731,0.004510113
5.057003428,0.002054552
5.057006037,0.004510113
5.023808377,0.002054552
5.057154734,0.004510113
5.052419578,0.002054552
4.973098616,0.00452509
5.048403863,0.002054552
5.024087409,0.004510113
4.942627512,0.002054552
5.023708151,0.004450205
5.048498881,0.002054552
5.041103151,0.00452509
5.028737994,0.002054552
4.973406496,0.004510113
5.008409209,0.002054552
5.057123611,0.00452509
5.052521813,0.00452509
4.973256765,0.002054552
5.048195638,0.004510113
5.0411133,0.002054552
5.048197534,0.00452509
4.999605104,0.004465182
5.041381236,0.002054552
5.052418697,0.00452509
5.056747006,0.002054552
5.041788122,0.004510113
5.023945355,0.002054552
4.978042084,0.004510113
5.052541653,0.002054552
4.942392445,0.00452509
4.937934621,0.004510113
5.056723537,0.002054552
5.056786753,0.004510113
5.052182417,0.004510113
5.048122993,0.002054552
5.052399313,0.00452509
5.062129564,0.002054552
4.961480237,0.00452509
5.028200965,0.004450205
5.05719532,0.004510113
5.052549917,0.00452509
4.926545214,0.002054552
4.942451093,0.004345368
5.052541318,0.004510113
5.057135199,0.002054552
5.056647845,0.004510113
5.052413957,0.002054552
4.942392731,0.004495136
5.04137197,0.004465182
4.977690416,0.002054552
4.961841854,0.004420252
5.057003246,0.002054552
5.052279335,0.004510113
5.019643345,0.002054552
5.048489007,0.004465182
5.0477961,0.004495136
5.052533632,0.002054552
5.028201484,0.004495136
5.02835784,0.004330391
5.056996967,0.002054552
5.05203795,0.004510113
5.028438678,0.004450205
5.01998185,0.002054552
5.024076463,0.004435229
4.961843752,0.002054552
4.942775323,0.004405275
5.052398037,0.002054552
4.999634367,0.00452509
5.052589383,0.00452509
5.028497142,0.002054552
4.978046145,0.004510113
5.05241341,0.002054552
5.023945936,0.00452509
4.926370188,0.002054552
5.052417816,0.00452509
5.012888073,0.002054552
4.94276388,0.004450205
4.937937196,0.002054552
5.012877859,0.004450205
5.028284306,0.002054552
4.949006467,0.004510113
4.937934304,0.002054552
5.056971092,0.00452509
5.028246179,0.002054552
4.978049135,0.004510113
5.052176036,0.002054552
4.937573655,0.00452509
5.052175277,0.002054552
4.973132289,0.004510113
5.04138471,0.00452509
5.023901999,0.002054552
4.999594795,0.004435229
5.052541653,0.002054552
4.942764356,0.004510113
4.937573464,0.002054552
4.913462067,0.004345368
5.028423903,0.002054552
5.028490477,0.00452509
5.04177843,0.002054552
4.948635826,0.004510113
5.052172725,0.002054552
5.052553714,0.00452509
5.041006504,0.002054552
5.028624948,0.004510113
4.999972823,0.002054552
5.052421614,0.00452509
5.056637692,0.002054552
5.028632836,0.00452509
5.023945355,0.002054552
5.052163154,0.00452509
4.942764293,0.004510113
5.062289437,0.002054552
5.048910022,0.00452509
5.024251504,0.002054552
5.028191013,0.004450205
5.023954589,0.002054552
5.057006037,0.00452509
5.056755782,0.00452509
4.942392922,0.002054552
5.028383799,0.004510113
4.926485767,0.002054552
5.056867107,0.00452509
4.93756369,0.002054552
5.052412286,0.004510113
4.912991633,0.004510113
4.933157104,0.002054552
5.0569882,0.004495136
5.028412326,0.002054552
5.023954589,0.00452509
4.926242921,0.004435229
4.938083023,0.002054552
5.05681375,0.004510113
5.056774983,0.002054552
5.048132685,0.004510113
5.052406088,0.004495136
5.057143267,0.002054552
5.028565456,0.004510113
5.028136199,0.002054552
4.973259382,0.004510113
4.937944619,0.002054552
5.023698764,0.004465182
4.961846789,0.002054552
4.978046428,0.004390298
4.942766229,0.004450205
5.052050316,0.002054552
5.008427336,0.00452509
4.942392445,0.002054552
5.057132924,0.00452509
5.052176796,0.002054552
4.973212215,0.00452509
5.052160299,0.00452509
5.052551162,0.004510113
5.057124785,0.00452509
5.056999515,0.002054552
4.937690094,0.00452509
5.052551162,0.002054552
5.033619617,0.004510113
5.052293068,0.004510113
5.057005521,0.002054552
5.019721529,0.004510113
4.937808249,0.002054552
5.024076463,0.004450205
5.028261008,0.002054552
5.02448382,0.00452509
5.024599972,0.002054552
5.02831405,0.004465182
5.028562037,0.002054552
5.028701606,0.004465182
4.949004277,0.004495136
5.052283376,0.004510113
5.056996997,0.00452509
5.052598376,0.00452509
5.023708151,0.002054552
5.028692814,0.002054552
4.977857153,0.004510113
5.052175915,0.002054552
5.000105694,0.00452509
5.028559778,0.004510113
4.942550108,0.002054552
4.973269125,0.004420252
4.937689712,0.002054552
5.052173454,0.00452509
5.052399222,0.002054552
5.02370384,0.00452509
5.052389713,0.004510113
5.048139821,0.004510113
5.040890077,0.00452509
4.973236681,0.002054552
4.942384054,0.004405275
5.048498881,0.00452509
4.937945096,0.002054552
5.057001032,0.004495136
5.012877369,0.004450205
4.973037198,0.004405275
5.052532417,0.002054552
5.028496103,0.004510113
5.056841809,0.002054552
4.938354872,0.004495136
4.942394984,0.004450205
5.02357579,0.004495136
5.012407732,0.002054552
4.937993206,0.004450205
5.05654129,0.002054552
5.019749228,0.00452509
5.024172838,0.004510113
5.028551274,0.004510113
4.942509741,0.002054552
5.052039865,0.004510113
5.041251276,0.002054552
5.024348245,0.004510113
5.048193538,0.002054552
5.052431032,0.004510113
5.012755627,0.002054552
5.028183151,0.004450205
5.023737228,0.002054552
5.041245363,0.004510113
4.942755488,0.004510113
5.028449606,0.002054552
5.024251137,0.004465182
5.056864286,0.004510113
5.028031142,0.002054552
4.973272057,0.004495136
5.056843923,0.004510113
5.052049283,0.004510113
5.041099981,0.002054552
5.052284348,0.004510113
4.94241228,0.002054552
4.978046145,0.004420252
4.942764356,0.002054552
5.04137197,0.004315414
5.023818375,0.002054552
5.052172694,0.004510113
5.023738298,0.00452509
4.973402555,0.002054552
4.942392922,0.004420252
4.91325784,0.002054552
5.057132924,0.004510113
5.024483663,0.002054552
5.028221327,0.004465182
5.052097712,0.002054552
4.913609465,0.004510113
5.02834295,0.002054552
5.056855125,0.002054552
4.977762544,0.00452509
5.028352501,0.00452509
4.937934844,0.004450205
5.052560246,0.002054552
5.048491121,0.00452509
5.028540393,0.002054552
5.02896667,0.004465182
5.057132924,0.004510113
5.057008918,0.002054552
5.057135472,0.004510113
5.056913275,0.002054552
4.942629099,0.00452509
5.012877553,0.002054552
4.999595257,0.004465182
5.057132651,0.002054552
4.937690952,0.00452509
5.056996967,0.002054552
5.012619929,0.004510113
5.057000698,0.002054552
4.937807772,0.00452509
4.937573655,0.004405275
4.999634706,0.002054552
4.942745188,0.004450205
5.056767187,0.002054552
5.048132351,0.00452509
5.023808958,0.002054552
4.995736762,0.004450205
5.023701791,0.002054552
5.052724937,0.004510113
4.633556546,0.004584998
5.028399268,0.002054552
5.024096643,0.004435229
5.024003816,0.002054552
4.942470928,0.004465182
5.052412286,0.002054552
4.94276388,0.00452509
5.056734154,0.002054552
5.052182417,0.004510113
5.056745013,0.00452509
5.041245363,0.002054552
4.937866421,0.00452509
5.023586552,0.002054552
4.999605811,0.004465182
5.057000243,0.002054552
4.978180177,0.004495136
5.024154121,0.002054552
5.028451248,0.00452509
5.056659463,0.00452509
5.02855814,0.002054552
4.942627036,0.00452509
5.019643345,0.002054552
4.999722435,0.004450205
5.01250923,0.002054552
5.056637752,0.00452509
5.023944163,0.002054552
4.942392731,0.004450205
5.023944897,0.004510113
5.05675833,0.002054552
5.023719097,0.004495136
5.012620389,0.00452509
5.019643131,0.004510113
5.056626165,0.002054552
4.93770079,0.004510113
5.056923164,0.004510113
4.937857059,0.004510113
4.937808249,0.004510113
5.052601991,0.002054552
5.024464278,0.00452509
5.012577447,0.002054552
5.028201362,0.004435229
4.91325784,0.004435229
4.977792026,0.002054552
5.028701331,0.004405275
4.942764356,0.002054552
4.942451379,0.004330391
4.983256922,0.002054552
5.052244426,0.00452509
4.978049261,0.004405275
4.977808772,0.002054552
4.942510217,0.004405275
5.023577043,0.004510113
4.815694881,0.002054552
4.937825955,0.004405275
4.942294985,0.002054552
5.056784205,0.004510113
5.028341755,0.002054552
5.052182417,0.004510113
5.056764821,0.004495136
5.052185424,0.002054552
5.023944897,0.004510113
5.041242468,0.002054552
5.028236376,0.004510113
5.052105945,0.002054552
5.028156287,0.00452509
5.056757875,0.004510113
5.024367354,0.004510113
5.041083736,0.004510113
4.913099162,0.002054552
4.928744482,0.004510113
5.056989201,0.002054552
5.056845176,0.00452509
5.023951256,0.00452509
5.028555443,0.002054552
5.057132651,0.00452509
5.019643804,0.002054552
5.028229447,0.004465182
5.052173819,0.002054552
5.056764366,0.00452509
5.05219223,0.002054552
5.024185028,0.004510113
5.028191288,0.002054552
4.94239527,0.004450205
5.056991264,0.004510113
5.056680948,0.002054552
5.0284591,0.004510113
4.942451569,0.002054552
5.052182872,0.00452509
5.056632929,0.002054552
5.028322371,0.00452509
4.977909595,0.002054552
5.057124066,0.00452509
4.926349394,0.004420252
5.056667904,0.002054552
5.033611235,0.004510113
5.028438678,0.002054552
5.028449423,0.004465182
4.94239546,0.002054552
4.977904967,0.004420252
5.028333116,0.002054552
4.926212543,0.004435229
