RMC,CCC
3.833333333,5.268738901
3.333333333,5.757378085
2.833333333,5.658391289
2.833333333,4.902300623
1.833333333,5.032946536
2.833333333,5.164537154
1.833333333,4.969066463
2.333333333,5.522686501
3.333333333,5.424582645
1.333333333,4.135844599
3.833333333,4.243592194
3.333333333,5.397051321
4.833333333,5.402724691
5.833333333,5.772245898
2.833333333,5.477504764
2.333333333,5.309557592
3.333333333,5.306172489
4.333333333,5.208453344
1.333333333,5.039424822
2.333333333,5.035918949
2.833333333,5.739254154
2.833333333,5.201091138
1.833333333,2.741067793
1.833333333,2.741086935
4.333333333,5.693760944
3.833333333,5.645324763
1.833333333,5.161856431
1.333333333,4.866420373
1.833333333,5.094691815
4.333333333,5.476130832
3.333333333,5.626959895
4.833333333,5.118117282
2.833333333,4.945166963
1.833333333,5.362072862
3.833333333,5.744683918
2.833333333,5.743888696
2.333333333,4.93933428
3.833333333,5.704372333
2.333333333,5.152170101
3.833333333,5.806475525
2.333333333,5.861441227
2.333333333,5.656744501
2.833333333,5.589597093
3.333333333,5.281750165
1.333333333,4.891047466
3.833333333,5.36698417
2.833333333,5.547301975
4.333333333,5.859635998
2.333333333,4.614996471
2.833333333,5.65060357
3.833333333,5.917805075
3.833333333,5.776383173
3.333333333,4.887856397
4.333333333,5.602643218
2.833333333,5.346759964
3.333333333,5.582550779
3.333333333,4.861064704
3.833333333,5.531096732
3.833333333,5.843410555
4.333333333,5.955344803
2.833333333,4.62924047
4.833333333,6.019098326
3.333333333,5.536774757
3.833333333,5.222396492
3.833333333,5.815885657
4.833333333,5.629931167
3.833333333,5.739820436
4.833333333,5.728580478
1.333333333,4.861023305
4.333333333,5.846478757
4.333333333,5.850781751
3.333333333,5.796558806
2.333333333,3.824073859
4.333333333,5.980889934
3.833333333,5.772938314
3.333333333,5.303814681
4.333333333,5.929811541
1.333333333,5.320646477
2.833333333,4.86935388
4.333333333,5.755796819
3.333333333,4.341193027
3.833333333,5.861024214
2.333333333,2.867505104
3.833333333,5.214162414
3.833333333,5.834740391
2.833333333,5.710633702
2.833333333,5.676574231
2.833333333,5.139137993
3.333333333,5.631212302
2.833333333,5.506416646
2.833333333,5.746383216
3.333333333,5.626691945
2.833333333,5.56980284
4.833333333,5.854973936
4.333333333,5.777618424
3.833333333,4.0914741
2.333333333,5.211687976
4.333333333,5.759971019
4.333333333,5.079990735
1.333333333,5.114254515
2.333333333,5.538964854
2.333333333,5.204507198
1.833333333,4.876831812
3.333333333,5.405955047
4.833333333,5.758421742
1.333333333,4.885902987
3.833333333,5.812300474
4.333333333,5.895758251
4.833333333,5.678365259
2.333333333,5.06432668
3.333333333,5.691520528
3.333333333,2.923417905
4.333333333,5.763257642
3.333333333,5.556886417
3.833333333,5.8229434
1.333333333,5.112974936
2.333333333,5.168581062
3.833333333,5.594420114
4.833333333,5.953037365
1.333333333,4.81383622
4.333333333,5.36508861
3.833333333,5.746600534
2.333333333,5.68532119
2.333333333,5.095168342
4.833333333,6.006570864
4.333333333,5.35584745
3.333333333,5.558490339
4.833333333,5.782577804
3.833333333,5.757888869
2.833333333,4.802563667
5.333333333,5.827755321
3.833333333,5.543682552
2.833333333,5.708225429
3.333333333,5.267215799
1.333333333,5.116771756
3.333333333,5.199859282
4.333333333,5.912230864
3.333333333,5.650546973
3.333333333,5.341759783
3.333333333,4.01929291
2.833333333,5.180229083
3.333333333,5.729309544
1.833333333,2.741057486
4.333333333,5.685408329
3.333333333,5.779303977
1.333333333,5.11681969
1.333333333,4.827257741
3.333333333,4.796356566
1.333333333,5.106911911
3.833333333,5.498321142
3.333333333,5.727572976
3.333333333,4.303488571
3.833333333,5.809009654
4.333333333,5.8622347
3.833333333,5.89939725
3.833333333,5.189059823
2.833333333,5.603355291
2.333333333,5.303806863
4.333333333,5.895766403
2.333333333,5.109195376
2.833333333,5.5523174
2.833333333,5.606382696
2.833333333,4.982833428
2.333333333,5.2407545
3.833333333,5.700986587
3.333333333,5.560198087
3.833333333,5.852702847
1.333333333,5.106866984
4.333333333,5.740817065
2.333333333,5.027344834
1.833333333,5.004623478
1.333333333,5.116771756
1.833333333,5.061145208
3.833333333,4.372193898
2.333333333,5.005236599
1.833333333,4.94907307
2.833333333,5.652004848
2.833333333,5.71408045
4.833333333,5.865185496
2.333333333,5.162469542
3.833333333,5.175184696
3.333333333,4.301567487
3.833333333,5.823282233
4.333333333,5.543256401
3.333333333,4.623498602
1.333333333,4.4631916
2.833333333,5.711285432
1.833333333,5.14763536
4.833333333,5.325464782
2.833333333,5.567678002
3.833333333,5.555964887
1.833333333,5.036827972
3.833333333,5.668908893
2.333333333,5.697087683
3.333333333,5.103192467
2.833333333,5.66874466
1.833333333,5.144868809
3.333333333,5.304147043
3.833333333,5.721540737
3.333333333,3.657622958
1.833333333,5.181262617
4.833333333,5.924248602
4.333333333,5.879747941
1.333333333,5.113492148
2.333333333,3.432569544
2.833333333,3.89064932
4.333333333,5.606457415
1.833333333,4.876692885
4.333333333,5.712672057
3.333333333,5.707202563
3.333333333,5.77037313
3.833333333,5.647155583
2.333333333,4.924689414
2.333333333,5.213585054
1.833333333,5.095911512
3.833333333,5.632796168
3.833333333,5.571350238
2.333333333,5.281262857
2.833333333,5.240510136
4.833333333,5.632913975
2.333333333,5.272444554
1.333333333,4.072246607
2.833333333,5.219725869
3.833333333,5.957668897
4.333333333,5.445846738
4.333333333,5.965273908
3.833333333,5.409521172
4.333333333,5.809866497
4.833333333,5.95218321
4.333333333,5.6813017
3.333333333,5.527440034
4.833333333,5.761288893
2.333333333,5.695795194
4.333333333,5.86222969
4.833333333,5.870849236
1.833333333,5.395285448
2.333333333,5.478228709
1.333333333,5.106866984
2.833333333,5.149570207
3.333333333,5.77671008
2.333333333,5.603304781
3.333333333,4.677836178
2.833333333,5.545037104
3.833333333,5.909526868
3.833333333,5.702796071
2.666666667,5.296273912
2.833333333,2.884915885
3.333333333,4.995787297
4.333333333,5.94266516
2.833333333,2.901713648
2.833333333,4.931788203
3.833333333,5.659934921
1.333333333,5.113540081
4.333333333,5.722776103
2.833333333,5.621900055
3.333333333,5.850855604
3.333333333,4.957327471
3.833333333,5.76678964
3.833333333,5.645294596
1.833333333,5.234028304
4.333333333,5.611466994
1.333333333,4.472074437
4.333333333,5.849239168
2.333333333,5.123390822
4.833333333,5.769800188
4.333333333,5.739149176
2.333333333,4.69725532
4.333333333,5.716991489
2.833333333,5.779920207
2.333333333,4.943798854
2.333333333,2.831491161
3.333333333,5.626239315
1.333333333,4.100632745
3.833333333,5.880047904
2.333333333,5.577057729
2.333333333,5.527511674
1.833333333,2.741067793
1.833333333,5.026035808
3.833333333,5.619652171
3.333333333,5.324760223
3.833333333,5.616591039
2.333333333,5.094266961
3.833333333,5.652124856
1.833333333,2.741056013
2.833333333,5.693734883
2.333333333,4.165318088
2.833333333,5.452796221
3.333333333,5.512675165
2.333333333,5.245974488
1.833333333,5.0369528
3.333333333,4.968602418
3.833333333,5.648797592
1.833333333,5.095546048
2.833333333,5.626226302
2.333333333,5.531937526
1.833333333,5.231713013
3.333333333,5.559375873
1.833333333,5.218787115
3.833333333,5.813932951
3.333333333,5.225761301
3.333333333,5.217352831
1.833333333,5.088148997
2.333333333,5.178831014
2.833333333,5.710494168
3.333333333,2.923412738
3.833333333,5.55119129
3.333333333,5.551371307
2.833333333,5.321650373
2.333333333,5.28006407
2.333333333,5.156297503
1.333333333,4.472041085
3.333333333,5.828570433
1.333333333,4.885902987
2.333333333,4.844095685
3.833333333,5.849413714
3.833333333,5.558979623
2.833333333,5.567001109
2.833333333,5.173957943
4.833333333,6.029298842
3.166666667,4.953335409
4.833333333,5.856899851
3.333333333,5.24916754
4.833333333,5.991625971
3.333333333,5.5219921
3.833333333,5.643345834
2.833333333,5.699201468
3.333333333,5.68957854
1.833333333,2.74107221
3.333333333,5.529464352
4.333333333,5.676173947
3.833333333,5.716893032
3.333333333,5.515977981
4.333333333,5.706410278
3.333333333,5.594652742
2.333333333,5.458139565
3.833333333,5.921360695
3.833333333,5.555061647
4.833333333,5.989051046
1.333333333,5.106866984
3.333333333,5.78081271
2.333333333,5.249185605
4.333333333,5.590190665
2.333333333,5.606322481
1.833333333,5.088562297
2.833333333,5.128653324
4.333333333,5.869555969
4.333333333,5.587851047
2.333333333,5.312028398
3.333333333,5.853311641
1.833333333,5.058518271
2.333333333,5.316042056
3.333333333,5.815408787
3.333333333,5.822957645
4.833333333,6.008608043
4.833333333,5.742316703
1.833333333,4.915854031
3.333333333,5.234721182
2.833333333,5.738564865
2.833333333,5.619262253
3.333333333,5.260803239
2.833333333,5.693535415
4.333333333,5.672961546
1.833333333,5.541291008
3.833333333,5.855427236
1.333333333,4.067582452
0.666666667,5.215832069
3.833333333,5.891103446
2.333333333,5.45396715
3.833333333,5.592465619
3.833333333,5.662528083
2.333333333,5.445571875
4.833333333,5.812530336
3.333333333,5.51887494
2.833333333,5.583473894
2.833333333,5.406013906
3.333333333,5.737380002
1.833333333,5.147824741
3.833333333,5.737516642
3.333333333,5.654385579
3.833333333,5.668594103
3.833333333,5.675339728
3.833333333,5.613151228
4.833333333,5.818281915
3.333333333,5.87608378
3.833333333,5.719870653
4.833333333,5.657271198
1.833333333,5.384505539
3.333333333,5.431219275
2.333333333,4.645879416
4.333333333,5.810712313
