CCC,Execution
4.677836178,0.004287123
5.545037104,0.004246597
5.909526868,0.004525739
5.702796071,0.004684869
5.296273912,0.003127367
2.884915885,0.004169301
4.995787297,0.004386481
5.94266516,0.004688938
2.901713648,0.004176968
4.931788203,0.004144109
5.659934921,0.004495228
5.113540081,0.003784384
5.722776103,0.004720075
5.621900055,0.004232045
5.850855604,0.004388359
4.957327471,0.004299953
5.76678964,0.004592708
5.645294596,0.004585041
5.234028304,0.003881552
5.611466994,0.004754186
4.472074437,0.003715694
5.849239168,0.004698326
5.123390822,0.004081364
5.769800188,0.004891723
5.739149176,0.004703176
4.69725532,0.004020498
5.716991489,0.004729933
5.779920207,0.004196683
4.943798854,0.004042873
2.831491161,0.003983727
5.626239315,0.004427946
4.100632745,0.003695509
5.880047904,0.004509623
5.577057729,0.004046941
5.527511674,0.004059146
2.741067793,0.003843373
5.026035808,0.003908778
5.619652171,0.004534971
5.324760223,0.00437099
5.616591039,0.004624785
5.094266961,0.004117509
5.652124856,0.00459709
2.741056013,0.003836489
5.693734883,0.004248944
4.165318088,0.004035675
5.452796221,0.004268972
5.512675165,0.004391957
5.245974488,0.004028008
5.0369528,0.003953528
4.968602418,0.004341261
5.648797592,0.004600063
5.095546048,0.004004538
5.626226302,0.00432358
5.531937526,0.004386794
5.231713013,0.004190268
5.559375873,0.004560163
5.218787115,0.004069473
5.813932951,0.00485417
5.225761301,0.00452793
5.217352831,0.004561414
5.088148997,0.004127367
5.178831014,0.004105148
5.710494168,0.004272884
2.923412738,0.004299014
5.55119129,0.004502582
5.551371307,0.004350806
5.321650373,0.004256141
5.28006407,0.004065717
5.156297503,0.004081834
4.472041085,0.003761227
5.828570433,0.004370521
4.885902987,0.003781098
4.844095685,0.004025818
5.849413714,0.004583007
5.558979623,0.004520263
5.567001109,0.004224847
5.173957943,0.004247379
6.029298842,0.004910969
4.953335409,0.003438429
5.856899851,0.004830543
5.24916754,0.004382413
5.991625971,0.004838992
5.5219921,0.004420591
5.643345834,0.004553122
5.699201468,0.004223596
5.68957854,0.004417462
2.74107221,0.003844782
5.529464352,0.004386637
5.676173947,0.004641684
5.716893032,0.004518542
5.515977981,0.004388202
5.706410278,0.00470036
5.594652742,0.004377249
5.458139565,0.00403145
5.921360695,0.004544516
5.555061647,0.004497105
5.989051046,0.004899546
5.106866984,0.003764669
5.78081271,0.00440025
5.249185605,0.00407714
5.590190665,0.004754342
5.606322481,0.004051479
5.088562297,0.003870599
5.128653324,0.004203568
5.869555969,0.00469191
5.587851047,0.004671882
5.312028398,0.004117822
5.853311641,0.004409326
5.058518271,0.003964168
5.316042056,0.004096386
5.815408787,0.004411516
5.822957645,0.004389767
6.008608043,0.004886872
5.742316703,0.004922547
4.915854031,0.003875606
5.234721182,0.004342982
5.738564865,0.004198404
5.619262253,0.00417243
5.260803239,0.004372712
5.693535415,0.004206697
5.672961546,0.004697074
5.541291008,0.003952433
5.855427236,0.004513848
4.067582452,0.003718197
5.215832069,0.00548271
5.891103446,0.004539822
5.45396715,0.004054765
5.592465619,0.004539822
5.662528083,0.004532937
5.445571875,0.004080582
5.812530336,0.004885307
5.51887494,0.004401815
5.583473894,0.004192145
5.406013906,0.004200282
5.737380002,0.004363793
5.147824741,0.003901267
5.737516642,0.004568925
5.654385579,0.004389767
5.668594103,0.004539509
5.675339728,0.004510562
5.613151228,0.004512126
5.818281915,0.004834768
5.87608378,0.00438695
5.719870653,0.004562979
5.657271198,0.00483555
5.384505539,0.003887498
5.431219275,0.004360038
4.645879416,0.003994993
5.810712313,0.004698013
5.571409409,0.004546393
5.2623003,0.004208887
5.241520244,0.004041152
5.961498885,0.004534502
4.822657382,0.004168049
5.822873581,0.004365983
5.554088238,0.004349241
5.684308191,0.004518072
5.380800645,0.004031607
5.146683803,0.004353153
5.694624095,0.004359881
5.064169088,0.00404522
5.047938485,0.0037775
5.037059414,0.003956814
4.162725644,0.003755124
5.500445043,0.004383195
4.180333261,0.003711782
5.461241395,0.004183226
4.917826257,0.003886403
5.675893876,0.004658269
4.978244332,0.004034423
5.11676875,0.003779847
5.767274909,0.004845877
5.384578144,0.00392286
5.064940247,0.004028165
5.473966797,0.004741824
5.549501653,0.00457002
5.541370613,0.004544046
5.862216886,0.004799718
5.513726119,0.004385542
5.233083474,0.0043555
5.867915562,0.004480519
2.831716854,0.004089501
5.859672506,0.004416367
